First Name,Last Name,Email Address,Salt,Date of Birth,Contact Number,Address
Keisha,Holder,Keisha.Holder@kandk-hair.co,90bef196a2350266,1993/01/21,+ 5011024819  ,"Hibiscus Lane #276, Couva-Tabaquite-Talparo, TT2181, Trinidad & Tobago"
Kirsten Brathwaite St.,Clair,Kirsten.Clair.600@KKHAIREMPORIUM.COM,49b04310c296b6d4,1974/10/22,+1 (868) 14139755,"Coconut Walk #100, Port of Spain, TT1891, Trinidad & Tobago"
José,Joseph,Jos.Joseph@loyalty.kkhair.com,c6adb34d88db8c6d,2005/01/08,+ 6213721386589026  ,"Queen's Road #287, St. George, BB23026, Barbados"
Rashida,Jean-Baptiste,Rashida.Jean-Baptiste-488@kkhairemporium.com,9bafe2c9e45adc22,1975/06/23,+1 (758) 987622023413,"Seaview Terrace #150, Dennery, 5382, St. Lucia"
Khadija De la,Cruz,KHADIJA.CRUZ@loyalty.kkhair.com,c701f4b275f2a11b,2003/02/13,652407,"Independence Ave #250, Christ Church, BB23026, Barbados"
Kareem,Charles,Kareem.Charles@kkhairemporium.com,7c6675d3bed355ca,2002/11/24,(593) 9836845776004,"Mango Tree Drive #181, St. James, BB23026, Barbados"
Shanice,Grant,Shanice.Grant@loyalty.kkhair.com,af5f391c21abdd37,1956/01/10,(832) 06799,"Seaview Terrace #196, Castries, LC04 101, St. Lucia"
Tyrone,Williams,TYRONE.WILLIAMS@loyalty.kkhair.com,8da23ddbb6ab095b,1994/09/03,039-2405-14770,"Mango Tree Drive #23, San Fernando, 00000, Trinidad & Tobago"
Rashida,Baptiste,Rashida.Baptiste@mail.kkhair.net,02c8b309c7c3af25,1996/02/02,+ 205554384046  ,"Sugar Cane Way #12, Castries, LC12 301, St. Lucia"
Sade St.,Clair,SADE.CLAIR@kkhairemporium.com,45451d99e95346%^,1999/09/26,990384,"Palm Grove #253, Gros Islet, 4553, St. Lucia"
Chloë Holder,Hernández,CHLO.HERNNDEZ@kkhairemporium.com,c2d29f438ad66132,1980/10/06,77293430107,"Cedar Park #163, St. James, BB23026, Barbados"
Kirsten ,Best-Holder,Kirsten.Best-Holder@LOYALTY.KKHAIR.COM,aff14f4eaed19a06,1984/10/04,829-9629-14504,"Bay Street #182, St. George Basseterre, KN0503, St. Kitts & Nevis"
Anaïs,Grant,Anas.Grant@kandk-hair.co,9a43461ec30912ae,1964/04/01,+1 (868) 4485714,"Seaview Terrace #160, Port of Spain, TT6114, Trinidad & Tobago"
Khadija,Johnson,Khadija.Johnson.824@loyalty.kkhair.com,dc5eb9a62e42e3e9,1996/10/02,(577) 0171577245992,"Hibiscus Lane #74, St. Paul Charlestown, KN0503, St. Kitts & Nevis"
Anaïs,Forde-Williams,ANAS.FORDE-WILLIAMS@LOYALTY.KKHAIR.COM,53589e2e8da85281,1984/11/04,7128639,"Coconut Walk #136, Christ Church, BB14000, Barbados"
Chloë,Grant,CHLO.GRANT@KKHAIREMPORIUM.COM,7214f0f17405193e,1960/09/26,+ 6519825309251142  ,"Sunset Blvd #59, St. John Figtree, KN0101, St. Kitts & Nevis"
Jermaine,Campbell,Jermaine.Campbell@MAIL.KKHAIR.NET,d7515f29bd07633b,2003/06/03,2200543645,"Mango Tree Drive #107, St. Catherine, 02, Jamaica"
Keisha ,Clarke,Keisha.Clarke.526@kkhairemporium.com,65b0248bb5723066,1970/05/30,+1 (246) 92712566,"Market Street #3, St. Philip, BB17001, Barbados"
Anaïs,Forde,ANAS.FORDE@loyalty.kkhair.com,f8a01d3ceacee115,1982/03/10,+ 1978897782806479  ,"Independence Ave #252, St. Thomas, BB23026, Barbados"
Andre,Clarke,Andre.Clarke@kkhairemporium.com,293a50a1edd80f0a,1990/01/06,+ 9456371  ,"Sunset Blvd #251, Castries, LC12 301, St. Lucia"
Kirsten van der,Kringle,Kirsten.Kringle-675@KANDK-HAIR.CO,38f273aac7d64356,1994/06/05,+ 3425754090  ,"Cedar Park #29, Diego Martin, TT7139, Trinidad & Tobago"
Tanesha,Charles,Tanesha.Charles@kkhairemporium.com,d182ffdad3582bda,1957/06/15,(459) 112382965,"Seaview Terrace #95, Clarendon, 15, Jamaica"
Anaïs,Brathwaite,ANAS.BRATHWAITE-968@KANDK-HAIR.CO,def376689fc4d669,1971/12/28,+ 5971072  ,"Harbour View #75, St. George Basseterre, KN0503, St. Kitts & Nevis"
Mikaël,Núñez,Mikal.Nez@mail.kkhair.net,605d27f3a093cb3a,1962/04/10,+ 09759230  ,"Sugar Cane Way #246, St. Thomas, BB23026, Barbados"
Rohan,Forde,Rohan.Forde_925@kandk-hair.co,f91fcff710da28df,1986/02/09,+ 8395972  ,"Harbour View #11, St. Peter Basseterre, KN0302, St. Kitts & Nevis"
D’Andre,Baptiste,DAndre.Baptiste@KKHAIREMPORIUM.COM,0b8b5512ad3737f8,1986/11/14,7119918081213524,"Bamboo Crescent #286, Vieux Fort, LC04 101, St. Lucia"
Tyrone van der,Kringle,Tyrone.Kringle@MAIL.KKHAIR.NET,74dddeb0e4022aac,1969/09/28,6845504892,"Harbour View #19, St. Philip, BB17001, Barbados"
Aaliyah,Lewis,Aaliyah.Lewis@kkhairemporium.com,a8c31677fc381aZZ,1991/07/23,(967) 18325,"Bay Street #10, St. Catherine, 18, Jamaica"
Andre,Lewis,ANDRE.LEWIS@loyalty.kkhair.com,230fd0a873f7a1a7,1994/05/05,+1 (876) 1207049611080466,"Seaview Terrace #229, Manchester, 04, Jamaica"
Shanice,Greenidge,Shanice.Greenidge@loyalty.kkhair.com,2648bdfe5741149d,1987/02/04,+ 50892038  ,"Bay Street #278, St. Peter Basseterre, 3415, St. Kitts & Nevis"
Sade,Núñez,Sade.Nez@kandk-hair.co,4a7184f62f25cbfe,1988/07/17,337-3634,"Mango Tree Drive #254, St. Thomas, 45171, Barbados"
D’Andre,Forde,DAndre.Forde@kandk-hair.co,ba7ddc9a0144acc6,1960/09/18,+1 (758) 1820970,"Hibiscus Lane #244, Castries, 6387, St. Lucia"
Rohan,Campbell,ROHAN.CAMPBELL@kkhairemporium.com,f596e8604e2c7afe,1958/07/04,+1 (758) 2967629,"Coconut Walk #234, Vieux Fort, 5873, St. Lucia"
Tanesha,Hernández,Tanesha.Hernndez@kandk-hair.co,ecac6c10834aefe2,1976/09/26,4186210,"Mango Tree Drive #72, St. James, 09, Jamaica"
José,Morris,Jos.Morris.831@kkhairemporium.com,620d00a6273551d3,1983/12/13,(520) 65063,"Hibiscus Lane #107, Manchester, 13, Jamaica"
Kareem Morris,Campbell,Kareem.Campbell@KANDK-HAIR.CO,7070397d7214bf96,1973/05/03,+ 64035533803  ,"Hibiscus Lane #228, St. Thomas Lowland, KN0503, St. Kitts & Nevis"
Rohan,Williams,Rohan.Williams@loyalty.kkhair.com,bfb1cd77f1b048e4,2006/11/20,(918) 362644886,"Cedar Park #83, Port of Spain, TT2512, Trinidad & Tobago"
Jamal van der,Kringle,Jamal.Kringle@kandk-hair.co,55b546f53e656156,1991/09/04,+1 (246) 1415093771,"Bay Street #56, St. Peter, BB17001, Barbados"
Dwayne,García,Dwayne.Garca-978@kkhairemporium.com,878f34f2a72accd7,1965/05/18,(569) 0409,"Sunset Blvd #46, St. James, BB17001, Barbados"
Jermaine van der,Kringle,JERMAINE.KRINGLE@kandk-hair.co,f513ad4c7137cf95,1988/09/04,+1 (758) 01111783,"Bamboo Crescent #46, Soufrière, LC12 301, St. Lucia"
D’Andre,Ramdeen,DANDRE.RAMDEEN@KANDK-HAIR.CO,a31465281239b5d0,1959/02/21,+1 (246) 585988310303,"Market Street #151, St. Philip, 80005, Barbados"
Rohan,Ramdeen,Rohan.Ramdeen-267@mail.kkhair.net,4adc072833d2a2ba,1968/02/16,+1 (869) 1284971859484910,"Hibiscus Lane #141, St. George Basseterre, 2604, St. Kitts & Nevis"
Rashida,Singh,Rashida.Singh@KANDK-HAIR.CO,29da222725129f0d,1967/03/29,+1 (869) 685389097283,"Market Street #273, St. George Basseterre, KN0101, St. Kitts & Nevis"
Andre,Best,Andre.Best@kandk-hair.co,c691ef1b0ea9b30b,1971/09/14,170-2437-654,"Palm Grove #52, Soufrière, LC10 201, St. Lucia"
Kareem ,Brathwaite,Kareem.Brathwaite@kandk-hair.co,66e32a9f64146d8b,1995/03/27,+ 42409036788  ,"Sunset Blvd #224, Port of Spain, TT7864, Trinidad & Tobago"
Rashida,Dottin,Rashida.Dottin.224@kkhairemporium.com,1484817630bba284,1981/06/16,+1 (868) 649837354396,"Palm Grove #6, Chaguanas, 00000, Trinidad & Tobago"
Kirsten,O'Connor,Kirsten.OConnor-362@loyalty.kkhair.com,d727b060bf431bb4,1967/12/07,260650,"Market Street #216, St. Peter Basseterre, KN0302, St. Kitts & Nevis"
Shanice,Williams,SHANICE.WILLIAMS@mail.kkhair.net,11550cde897d582c,1966/03/24,+1 (876) 66205634,"Harbour View #29, St. Andrew, 13, Jamaica"
Shanice,Campbell,SHANICE.CAMPBELL@loyalty.kkhair.com,290b9c6acb43ad%^,1997/10/15,133-2288-98572,"Cedar Park #20, Vieux Fort, LC10 201, St. Lucia"
Andre,Hernández,Andre.Hernndez@kkhairemporium.com,bb225e8f8e43f1b9,1966/07/28,+ 03802146296  ,"Market Street #161, Chaguanas, TT7769, Trinidad & Tobago"
José,Best,Jos.Best.204@kkhairemporium.com,d80e4e3166d5c6b6,2006/10/01,655-8685-127,"Queen's Road #187, Kingston, 10, Jamaica"
Kirsten,Alleyne,Kirsten.Alleyne@kkhairemporium.com,e19d67ec36f3be%^,1975/02/02,025-895,"Coconut Walk #136, St. Thomas Lowland, KN0302, St. Kitts & Nevis"
Kofi van der,Kringle,Kofi.Kringle@mail.kkhair.net,5a6220d0402c04eb,1974/11/23,+1 (876) 091179112442,"Market Street #126, Clarendon, 13, Jamaica"
Tia,Johnson,TIA.JOHNSON@kkhairemporium.com,058360046b360a47,1966/05/10,+ 8634234619  ,"Mango Tree Drive #103, Kingston, 82285, Jamaica"
Kirsten,Hernández,Kirsten.Hernndez@kkhairemporium.com,d5b726bb4a30a0a6,1983/11/06,+1 (868) 919665533077,"Market Street #34, Diego Martin, TT4476, Trinidad & Tobago"
Sade,Jean-Baptiste,Sade.Jean-Baptiste@mail.kkhair.net,2b7622f1606ec6f3,2002/05/03,+1 (876) 5679836,"Queen's Road #160, Clarendon, 15, Jamaica"
Noël,Ramdeen,NOL.RAMDEEN@kandk-hair.co,cda1e8b31cd696c5,2002/07/05,+1 (758) 094318,"Market Street #222, Castries, LC10 201, St. Lucia"
Tia,Alleyne,TIA.ALLEYNE@kandk-hair.co,55ae40fda058250b,1955/02/02,822-1145-7758,"Hibiscus Lane #242, Port of Spain, TT1284, Trinidad & Tobago"
Anaïs,Holder,ANAS.HOLDER@mail.kkhair.net,db626c38e58bacd8,1958/09/08,10727284,"Sugar Cane Way #176, St. Peter, BB14000, Barbados"
José,Brathwaite,Jos.Brathwaite@mail.kkhair.net,b491c4c0ee12183a,1981/01/25,28723244079,"Sugar Cane Way #170, Port of Spain, TT9369, Trinidad & Tobago"
Tia Joseph De la,Cruz,Tia.Cruz@kandk-hair.co,bc2105733ffa7735,1989/06/16,(590) 2517629,"Harbour View #33, St. George Basseterre, KN0101, St. Kitts & Nevis"
Marlon,Thompson,Marlon.Thompson@kkhairemporium.com,2a5f66fbb42edc22,2001/05/28,+1 (758) 4651241893898469,"Sunset Blvd #256, Gros Islet, LC12 301, St. Lucia"
Chloë Clarke,Greenidge,Chlo.Greenidge.837@loyalty.kkhair.com,2f48131f7bdf97ZZ,2002/12/04,682-1719-553,"Harbour View #10, Micoud, LC04 101, St. Lucia"
Shanice,Campbell,Shanice.Campbell@KKHAIREMPORIUM.COM,794cf32286fb7e9b,1981/04/04,974-1328-34831,"Hibiscus Lane #270, St. Thomas Lowland, KN0101, St. Kitts & Nevis"
Chloë,Dottin,Chlo.Dottin-603@mail.kkhair.net,76c5d191b0a860ad,1960/02/15,+1 (868) 6732044,"Market Street #199, Couva-Tabaquite-Talparo, TT5709, Trinidad & Tobago"
Marlon,Thompson,Marlon.Thompson@MAIL.KKHAIR.NET,4036ab6c14c227d3,2002/05/07,(943) 5353751376515,"Coral Ridge #242, St. Philip, 78740, Barbados"
Kofi,Campbell,Kofi.Campbell@kandk-hair.co,65e053d8f341d052,2002/06/27,+ 559991  ,"Bay Street #217, Chaguanas, TT7591, Trinidad & Tobago"
Jermaine,Núñez,Jermaine.Nez@mail.kkhair.net,d9aca5416d8a3b95,1979/07/27,+ 1388209  ,"Hibiscus Lane #87, Vieux Fort, LC04 101, St. Lucia"
Kareem,Thompson,Kareem.Thompson@kandk-hair.co,83b272a5a8e2a1d3,2001/10/07,+1 (246) 2963347,"Cedar Park #286, St. Philip, BB14000, Barbados"
Jéssica,Charles,Jssica.Charles@loyalty.kkhair.com,f4dc093d98ab5496,1988/04/22,+ 562271  ,"Coconut Walk #242, St. James, 07, Jamaica"
José,Johnson,JOS.JOHNSON@kandk-hair.co,c86243685834ca8f,1955/03/29,102-8767-5,"Hibiscus Lane #47, St. Ann, 20, Jamaica"
Mikaël St.,Clair,MIKAL.CLAIR-855@kkhairemporium.com,a5b0cd1264825e18,2000/05/07,19711121259,"Seaview Terrace #2, St. Thomas Lowland, KN0503, St. Kitts & Nevis"
Rohan van der,Kringle,Rohan.Kringle@kandk-hair.co,6598e82fbbbe51c4,1973/11/24,+1 (246) 834374,"Harbour View #178, St. Philip, BB23026, Barbados"
Zoë,Best,Zo.Best@mail.kkhair.net,75f6a49206ee7e75,1999/11/17,068761648198,"Bamboo Crescent #170, St. Peter Basseterre, 5011, St. Kitts & Nevis"
Dwayne,Williams,Dwayne.Williams@mail.kkhair.net,c02a79674836bfe0,2002/01/08,+1 (869) 14888107983,"Sugar Cane Way #104, St. Thomas Lowland, 1538, St. Kitts & Nevis"
Marlon St.,Clair,MARLON.CLAIR@loyalty.kkhair.com,fe31a26f3e2f636f,1955/11/11,469-472,"Cedar Park #58, Clarendon, 15, Jamaica"
Tanesha,Jean-Baptiste,TANESHA.JEAN-BAPTISTE@mail.kkhair.net,d93ea5637699af39,1973/11/12,+ 87964347  ,"Independence Ave #166, Gros Islet, 4144, St. Lucia"
Zoë,Holder,ZO.HOLDER@mail.kkhair.net,6689b0adca66e832,1984/03/14,105-485,"Sugar Cane Way #241, Castries, 7390, St. Lucia"
Sade,Dottin,Sade.Dottin@kandk-hair.co,65ae7eba688043dd,1998/08/19,858-749,"Cedar Park #271, St. Michael, BB23026, Barbados"
Rashida,Dottin,Rashida.Dottin@mail.kkhair.net,aed0c90c007ad487,1984/04/20,2342108,"Seaview Terrace #103, St. Peter, BB23026, Barbados"
Keisha,Brathwaite,Keisha.Brathwaite@kandk-hair.co,6c1eec66c3253563,1987/02/25,+ 81700666  ,"Queen's Road #213, Gros Islet, LC04 101, St. Lucia"
Kirsten,Jean-Baptiste,Kirsten.Jean-Baptiste@MAIL.KKHAIR.NET,1169bd5d5545b350,1982/06/17,+1 (246) 0260869822,"Queen's Road #136, St. George, BB14000, Barbados"
Keisha,Johnson,KEISHA.JOHNSON@mail.kkhair.net,b3ff64744723c937,1971/07/25,+ 65290603  ,"Coconut Walk #169, Couva-Tabaquite-Talparo, TT9518, Trinidad & Tobago"
Aaliyah,Brathwaite-Thompson,Aaliyah.Brathwaite-Thompson@kandk-hair.co,c392a7e17480f777,1994/07/04,+ 8893628969  ,"Hibiscus Lane #75, Kingston, 10, Jamaica"
Jamal,Jean-Baptiste,Jamal.Jean-Baptiste@mail.kkhair.net,f3afc9f9116295a1,1959/03/27,+1 (869) 50317235137,"Harbour View #97, St. Thomas Lowland, KN0101, St. Kitts & Nevis"
Latoya,Baptiste,LATOYA.BAPTISTE.826@kkhairemporium.com,be61cc492756aeZZ,2002/06/02,8809255021,"Independence Ave #74, St. George, BB14000, Barbados"
Anaïs,Alleyne,ANAS.ALLEYNE@kkhairemporium.com,b7495c85b0d941ed,2003/07/31,7776755562,"Harbour View #65, St. Peter, BB23026, Barbados"
Devon,Thompson,Devon.Thompson@mail.kkhair.net,a5cd5e06c584c64d,1977/01/16,+ 000515  ,"Independence Ave #250, St. Catherine, 20, Jamaica"
Dwayne,García-Singh,Dwayne.Garca-Singh@KANDK-HAIR.CO,cfcf50be5e0fbaZZ,1981/12/03,+ 97099625  ,"Bay Street #77, Kingston, 93128, Jamaica"
Noël,Núñez,Nol.Nez@mail.kkhair.net,20d7612ca6f6f5f9,1960/06/30,(113) 253269496,"Market Street #4, Castries, LC10 201, St. Lucia"
Sade,Joseph,Sade.Joseph@mail.kkhair.net,0abf48afa6639169,1988/09/25,615727,"Cedar Park #6, St. James, BB17001, Barbados"
Jamal,Núñez,Jamal.Nez@kandk-hair.co,c0dac5a19a114f22,1964/03/04,17680866,"Sugar Cane Way #121, Castries, LC12 301, St. Lucia"
Jamal,Dottin,JAMAL.DOTTIN@kkhairemporium.com,cc09f0d216167f0b,1988/01/10,858-6239-4,"Cedar Park #85, St. James, 07, Jamaica"
Chloë,Grant,CHLO.GRANT@MAIL.KKHAIR.NET,9065a6fcaec5ff97,1964/08/15,+1 (246) 6921053365,"Cedar Park #16, St. George, BB14000, Barbados"
Mikaël,Johnson,MIKAL.JOHNSON@kandk-hair.co,880f2462cc01fded,1956/03/10,+1 (246) 4043370096873045,"Palm Grove #33, St. Peter, BB23026, Barbados"
Aaliyah,Holder,Aaliyah.Holder.655@loyalty.kkhair.com,4abee51a4a546c2d,1999/12/25,357-1558-68639,"Market Street #54, St. Paul Charlestown, KN0503, St. Kitts & Nevis"
Chloë van der,Kringle,Chlo.Kringle_915@kkhairemporium.com,65228e3dbc09acb6,1997/12/03,+ 76816995  ,"Coral Ridge #22, Clarendon, 14131, Jamaica"
Latoya,Dottin,Latoya.Dottin.851@kkhairemporium.com,40e25e8c183f5e__,1984/09/24,+1 (246) 626042,"Seaview Terrace #80, St. Peter, BB17001, Barbados"
Jamal,Browne,Jamal.Browne@mail.kkhair.net,8bfc74305256eb__,1971/08/23,605-0801-84980,"Sunset Blvd #287, St. Michael, BB17001, Barbados"
Zoë,Greenidge,Zo.Greenidge@loyalty.kkhair.com,72521828e494d857,1969/12/13,303-9111,"Hibiscus Lane #48, Arima, 16834, Trinidad & Tobago"
Rashida,Dottin,Rashida.Dottin_334@kandk-hair.co,447b8e7e537512%^,2002/06/13,+1 (868) 9964862872031954,"Seaview Terrace #203, Arima, TT7617, Trinidad & Tobago"
Sade,Browne,SADE.BROWNE_816@kkhairemporium.com,bb2159a3121065cf,1981/02/22,817-9340,"Market Street #37, St. Ann, 20, Jamaica"
Jamal,Singh,Jamal.Singh@mail.kkhair.net,d2b2f99d009a5243,1963/07/16,+ 0448818  ,"Bamboo Crescent #171, Vieux Fort, LC10 201, St. Lucia"
Rohan,Best,Rohan.Best_485@kkhairemporium.com,407fc7438b8389ZZ,1976/08/22,(058) 6950,"Coconut Walk #126, Dennery, LC10 201, St. Lucia"
Khadija,Ramdeen,KHADIJA.RAMDEEN@kkhairemporium.com,1c9c5bb915c7ba59,1957/02/01,315-3888-245279050,"Mango Tree Drive #194, St. Catherine, 46672, Jamaica"
Rohan,Núñez,Rohan.Nez.264@LOYALTY.KKHAIR.COM,6726f64ca71d122f,1984/05/17,0091561829803657,"Sunset Blvd #237, Manchester, 14, Jamaica"
Jamal,O'Connor,Jamal.OConnor@mail.kkhair.net,77cfa04d6556427e,1985/04/18,+1 (869) 050537666081,"Sunset Blvd #131, St. George Basseterre, KN0302, St. Kitts & Nevis"
Jamal  De  la ,Cruz,Jamal.Cruz@loyalty.kkhair.com,5cdc9e294bc74a__,1982/10/10,+ 2669806908726176  ,"Bamboo Crescent #100, Christ Church, BB14000, Barbados"
Jamal ,Greenidge,Jamal.Greenidge@KANDK-HAIR.CO,fbc366e299815a14,1981/05/18,+1 (868) 416781277822,"Cedar Park #49, Diego Martin, 00000, Trinidad & Tobago"
Tia,Charles,Tia.Charles@KANDK-HAIR.CO,ae103585ab885cec,1986/09/02,+1 (868) 6338915624152857,"Coral Ridge #151, San Fernando, TT5040, Trinidad & Tobago"
Tia,Ramdeen,TIA.RAMDEEN@loyalty.kkhair.com,9323ff516a7812b6,1962/11/30,936-7813-6,"Mango Tree Drive #56, St. Catherine, 11, Jamaica"
Noël,Williams,NOL.WILLIAMS@kkhairemporium.com,bc54add1adee8954,1985/04/24,+ 8249116  ,"Sugar Cane Way #144, Micoud, 6562, St. Lucia"
Mikaël Morris,García,Mikal.Garca@KKHAIREMPORIUM.COM,16d53999ccf4f7de,1994/07/27,43183281,"Coconut Walk #212, Christ Church, BB17001, Barbados"
Kofi,Williams,Kofi.Williams@KKHAIREMPORIUM.COM,eb05fc2e55bfea8b,1978/10/31,76831608271,"Harbour View #80, St. Ann, 14285, Jamaica"
Rohan,Greenidge,Rohan.Greenidge@kandk-hair.co,7475ab76a98d3fef,1990/04/07,+1 (876) 7997029,"Palm Grove #293, St. Catherine, 43278, Jamaica"
Aaliyah,Dottin,Aaliyah.Dottin@kkhairemporium.com,53ede413233cc3__,1957/11/11,+1 (869) 493665,"Sugar Cane Way #176, St. Paul Charlestown, KN0302, St. Kitts & Nevis"
Jéssica,Joseph,Jssica.Joseph-24@MAIL.KKHAIR.NET,bc206b4f037e3486,1987/03/18,+1 (758) 202706,"Market Street #188, Soufrière, LC10 201, St. Lucia"
Andre ,Charles-Johnson,Andre.Charles-Johnson.812@MAIL.KKHAIR.NET,403a1e261de371e7,1959/04/16,130-0962,"Coconut Walk #185, St. George, 46116, Barbados"
Renée De la,Cruz,RENE.CRUZ@kkhairemporium.com,9453eb7ebe051081,1983/09/23,+ 128794  ,"Sunset Blvd #93, St. Ann, 07, Jamaica"
Jermaine,O'Connor,Jermaine.OConnor@MAIL.KKHAIR.NET,d1f75f97acb3ec59,1992/10/29,(784) 21702,"Coconut Walk #193, St. James, 42591, Jamaica"
Devon,Dottin,Devon.Dottin@kkhairemporium.com,8cf4e2d02292637b,1969/08/24,605-2304-58816,"Cedar Park #105, Dennery, LC04 101, St. Lucia"
