original_index, Password 12582,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
93,XItQYa,Mango Tree Drive #149,St. Philip,BB17001,Barbados,Oistins,1288.0,Prefer not to say,+1 (246) 346157173203,2017/05/03,8.0
94,ZpB%6&,Sunset Blvd #59,St. John Figtree,KN0101,St. Kitts & Nevis,Basseterre,13966.0,Non-binary,+ 6519825309251142  ,2016/12/10,70.0
95,kaawlK18qAsI,Mango Tree Drive #107,St. Catherine,02,Jamaica,Kingston,22454.0,Prefer not to say,2200543645,2018/07/17,94.0
96,PDoPDmE0,Independence Ave #17,St. Philip,BB14000,Barbados,Warrens,4472.0,Female,+ 7762534929298316  ,2018/09,27.0
97,ta1ff8#e2^Y9m5@E,Cedar Park #190,St. John Figtree,KN0101,St. Kitts & Nevis,Sandy Point,22634.0,Non-binary,04649893195,2016/04/22,116.0
98,ArQE*o9ACPTI#2Jg,Coconut Walk #58,Dennery,3424,St. Lucia,Castries,6693.0,Female,682-7567-0,2016/05/08,102.0
99,46MqNvHD9VKgsTK6,Queen's Road #76,St. Catherine,15,Jamaica,Spanish Town,9881.0,Female,+1 (876) 672752,2018/11/05,90.0
100,Ro9froNdZC5T,Queen's Road #7,Vieux Fort,LC12 301,St. Lucia,Gros Islet,14600.0,Female,+1 (758) 7674266,2016/06/25,38.0
101,1w7rzxWL!f,Bamboo Crescent #142,Diego Martin,TT6927,Trinidad & Tobago,San Fernando,18532.0,Prefer not to say,+1 (868) 4715890429025725,2017/07/12,81.0
102,OMIUm&Tsbr,Sugar Cane Way #186,Gros Islet,LC12 301,St. Lucia,Castries,23261.0,Non-binary,+1 (758) 132234,2016/09,54.0
103,iMbmpA,Market Street #3,St. Philip,BB17001,Barbados,Oistins,23191.0,Prefer not to say,+1 (246) 92712566,2017/04/11,97.0
104,K6N4C0L2yi8V,Cedar Park #218,Dennery,LC12 301,St. Lucia,Vieux Fort,19068.0,Non-binary,6579678427114773,2016/10/02,94.0
105,j%@7zL,Independence Ave #252,St. Thomas,BB23026,Barbados,Oistins,12749.0,Prefer not to say,+ 1978897782806479  ,2017-12-23,36.0
106,m2ST0ShFFENk,Sunset Blvd #251,Castries,LC12 301,St. Lucia,Gros Islet,16474.0,Non-binary,+ 9456371  ,2017/03/14,6.0
107,,,,,,,,,,,
108,chkOMi0UlYrE,Cedar Park #29,Diego Martin,TT7139,Trinidad & Tobago,Port of Spain,10370.0,Prefer not to say,+ 3425754090  ,2016/04/21,100.0
109,XbYGMlEMAu4O,Seaview Terrace #95,Clarendon,15,Jamaica,Kingston,13128.0,Male,(459) 112382965,2016/09/30,87.0
110,Dl7zHvgZ2HtlVvpb,Harbour View #75,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,20240.0,Prefer not to say,+ 5971072  ,2018/03/25,91.0
111,faG#WMYVqfwHv#@R,Harbour View #85,Chaguanas,TT3478,Trinidad & Tobago,Chaguanas,20861.0,Prefer not to say,(320) 320,2016-11-30,55.0
112,pSlAKxv$,Sugar Cane Way #246,St. Thomas,BB23026,Barbados,Oistins,21561.0,Female,+ 09759230  ,2017/08/02,7.0
113,XZKtpM!3,Market Street #175,St. Thomas,BB17001,Barbados,Oistins,22486.0,Male,+ 8814761742  ,2017-09-07,66.0
114,TGk #co7wxY,Mango Tree Drive #236,Couva-Tabaquite-Talparo,63096,Trinidad & Tobago,Chaguanas,20209.0,Non-binary,(641) 220310303,2016/10/24,55.0
115,8c5FzLYgQbn3,Harbour View #11,St. Peter Basseterre,KN0302,St. Kitts & Nevis,Sandy Point,11267.0,Prefer not to say,+ 8395972  ,2018/03,106.0
116,u!m1@MEA,Bamboo Crescent #286,Vieux Fort,LC04 101,St. Lucia,Vieux Fort,1652.0,Prefer not to say,7119918081213524,2018/11/02,111.0
117,RK#vkIV1UFt^,Harbour View #19,St. Philip,BB17001,Barbados,Oistins,1894.0,Non-binary,6845504892,2018/07/02,113.0
118,e&QXq%,Bamboo Crescent #64,St. John Figtree,KN0101,St. Kitts & Nevis,Sandy Point,11107.0,Male,(998) 9354492683158,2018/01/09,18.0
119,%YH@24!1us#q,Queen's Road #156,Chaguanas,00000,Trinidad & Tobago,Port of Spain,19320.0,Prefer not to say,+1 (868) 443270,2017/12/15,5.0
120,55tPl0XDYR*f,Sugar Cane Way #297,Diego Martin,TT9741,Trinidad & Tobago,San Fernando,13166.0,Female,+1 (868) 0562608564,2016/07/22,36.0
121,hMXmOs,Bay Street #10,St. Catherine,18,Jamaica,Kingston,18176.0,Male,(967) 18325,2016-12-10,68.0
122,9IGWSB,Mango Tree Drive #169,Port of Spain,TT1033,Trinidad & Tobago,San Fernando,140.0,Female,268-7681-18071,2018-02-09,45.0
123,JTylMC,Bay Street #292,San Fernando,00000,Trinidad & Tobago,Chaguanas,757.0,Non-binary,(870) 605664187,2018-11-25,113.0
124,C2jFzv,Seaview Terrace #229,Manchester,04,Jamaica,Kingston,12366.0,Non-binary,+1 (876) 1207049611080466,2018/04/21,76.0
125,6%Q ynn,Bay Street #278,St. Peter Basseterre,3415,St. Kitts & Nevis,Sandy Point,19769.0,Non-binary,+ 50892038  ,2016/04/21,25.0
126,QM1Qun6f@CaCD7BE,Palm Grove #102,St. Andrew,10,Jamaica,Montego Bay,23554.0,Male,+1 (876) 83230241,2016/10/08,100.0
127,3ipsqyy&WVO2Ffy&,Mango Tree Drive #254,St. Thomas,45171,Barbados,Oistins,19135.0,Female,337-3634,2018/02/11,119.0
128,R25730V@OIWdw4DH,Coral Ridge #71,Dennery,LC12 301,St. Lucia,Castries,9813.0,Non-binary,+ 5669078263337389  ,2018-08-17,59.0
129,VrqNb@,Hibiscus Lane #244,Castries,6387,St. Lucia,Vieux Fort,9982.0,Female,+1 (758) 1820970,2016/05,49.0
130,Yuoq&19iXAqA,Coconut Walk #234,Vieux Fort,5873,St. Lucia,Vieux Fort,5738.0,Prefer not to say,+1 (758) 2967629,2016/03/30,111.0
131,pVjn#P05vGA#f7dj,Mango Tree Drive #72,St. James,09,Jamaica,Kingston,19889.0,Female,4186210,2016/11/10,22.0
132,agWzFV,Hibiscus Lane #107,Manchester,13,Jamaica,Kingston,7005.0,Female,(520) 65063,2016/05/15,35.0
133,XrQwO9iQc5,Hibiscus Lane #228,St. Thomas Lowland,KN0503,St. Kitts & Nevis,Sandy Point,21089.0,Female,+ 64035533803  ,2017/03/31,48.0
134,AE#k27Nv,Harbour View #80,St. John Figtree,1324,St. Kitts & Nevis,Sandy Point,2727.0,Non-binary,(828) 24674746,2018/09/11,17.0
135,VX!Nj0epXuy3,Cedar Park #83,Port of Spain,TT2512,Trinidad & Tobago,Chaguanas,12594.0,Prefer not to say,(918) 362644886,2018-04-22,118.0
136,av!ami1^1K,Bay Street #56,St. Peter,BB17001,Barbados,Bridgetown,9605.0,Female,+1 (246) 1415093771,2017-06-28,0.0
137,2RVROEUZWh,Queen's Road #24,St. Thomas Lowland,KN0302,St. Kitts & Nevis,Charlestown,15877.0,Prefer not to say,+ 915671649328  ,2018/10/30,63.0
138,Bvln3duP,Sunset Blvd #46,St. James,BB17001,Barbados,Oistins,3804.0,Non-binary,(569) 0409,2018/03,40.0
139,,,,,,,,,,,
140,bUnsW2vh,Bamboo Crescent #46,Soufrière,LC12 301,St. Lucia,Vieux Fort,21403.0,Prefer not to say,+1 (758) 01111783,2018/09/09,95.0
141,xZcY&^!i%&pApxxa,Market Street #151,St. Philip,80005,Barbados,Bridgetown,18909.0,Prefer not to say,+1 (246) 585988310303,2017/03,77.0
142,kG2s&AjIyV$u,Hibiscus Lane #141,St. George Basseterre,2604,St. Kitts & Nevis,Basseterre,12407.0,Female,+1 (869) 1284971859484910,2018/03/08,103.0
143,IgVF16x4T7#KJ2%D,Market Street #273,St. George Basseterre,KN0101,St. Kitts & Nevis,Charlestown,6231.0,Female,+1 (869) 685389097283,2018-01-21,65.0
144,LM9 LHB,Palm Grove #52,Soufrière,LC10 201,St. Lucia,Castries,17337.0,Male,170-2437-654,2017/01/08,34.0
145,yKfrY1,Market Street #7,St. Peter,BB17001,Barbados,Bridgetown,22226.0,Non-binary,9067447163,2018/11/13,35.0
146,ytDpqZeJ,Queen's Road #144,St. James,BB17001,Barbados,Warrens,1558.0,Male,005-347,2016/07/25,32.0
147,^VE JAXlnqp,Sunset Blvd #224,Port of Spain,TT7864,Trinidad & Tobago,Chaguanas,716.0,Male,+ 42409036788  ,2016/12/04,65.0
148,#^HMCLIpvCf&,Palm Grove #6,Chaguanas,00000,Trinidad & Tobago,San Fernando,512.0,Female,+1 (868) 649837354396,2017-04-19,55.0
149,KcNuwYyi,Seaview Terrace #7,Castries,LC12 301,St. Lucia,Vieux Fort,2784.0,Male,+1 (758) 7972457,2016/04/24,34.0
150,D2XsTK,Independence Ave #218,St. Peter Basseterre,KN0503,St. Kitts & Nevis,Sandy Point,3405.0,Non-binary,5410225267,2018-09-06,14.0
151,QrFX1@&&@&&D,Market Street #216,St. Peter Basseterre,KN0302,St. Kitts & Nevis,Basseterre,24477.0,Male,260650,2016/05/31,76.0
152,^M80R4bK,Harbour View #29,St. Andrew,13,Jamaica,Spanish Town,15349.0,Prefer not to say,+1 (876) 66205634,2016/06/08,99.0
153,EIk f9f,Cedar Park #20,Vieux Fort,LC10 201,St. Lucia,Vieux Fort,15175.0,Female,133-2288-98572,2018/01/07,120.0
154,mbsNl@m6OvLu,Market Street #161,Chaguanas,TT7769,Trinidad & Tobago,San Fernando,8612.0,Female,+ 03802146296  ,2017/04/01,59.0
155,zZQ iOR!B8oJ6,Sunset Blvd #141,St. Thomas,BB23026,Barbados,Oistins,14792.0,Prefer not to say,+ 34201654235  ,2018/09/13,88.0
156,PObt6s@O,Queen's Road #187,Kingston,10,Jamaica,Spanish Town,16355.0,Prefer not to say,655-8685-127,2016/12/28,20.0
157,lc0n@*,Coconut Walk #136,St. Thomas Lowland,KN0302,St. Kitts & Nevis,Basseterre,13584.0,Female,025-895,2018/05/30,50.0
158,%u3Dmq#pYH,Market Street #126,Clarendon,13,Jamaica,Montego Bay,2718.0,Male,+1 (876) 091179112442,2018-10-09,116.0
159,5uxMbwepRS,Mango Tree Drive #103,Kingston,82285,Jamaica,Montego Bay,24418.0,Prefer not to say,+ 8634234619  ,2017/09/30,26.0
160,TVi5ve$G0L^TYdox,Market Street #34,Diego Martin,TT4476,Trinidad & Tobago,Port of Spain,3372.0,Non-binary,+1 (868) 919665533077,2017/07/16,15.0
161,e&^fRci8m1MJ,Queen's Road #224,San Fernando,00000,Trinidad & Tobago,Chaguanas,12087.0,Female,040104145964,2016/10/09,15.0
162,9!JP9ClH,Queen's Road #160,Clarendon,15,Jamaica,Spanish Town,3462.0,Male,+1 (876) 5679836,2017/07/23,87.0
163,d8^5THpkT3,Market Street #222,Castries,LC10 201,St. Lucia,Castries,7195.0,Female,+1 (758) 094318,2017/04,89.0
164,Kamx#9NEvO,Hibiscus Lane #242,Port of Spain,TT1284,Trinidad & Tobago,Chaguanas,9524.0,Male,822-1145-7758,2018/09/23,58.0
165,s0C sT@,Sugar Cane Way #176,St. Peter,BB14000,Barbados,Warrens,14910.0,Non-binary,10727284,2016/11/29,36.0
166,gGrSK#,Bay Street #155,St. George,BB17001,Barbados,Oistins,14280.0,Non-binary,923-4268-344149782,2018/06/13,67.0
167,d1lrMF,Sugar Cane Way #170,Port of Spain,TT9369,Trinidad & Tobago,Chaguanas,1737.0,Male,28723244079,2016/08/22,19.0
168,9xE*H4p3scxs,Mango Tree Drive #62,St. Paul Charlestown,KN0101,St. Kitts & Nevis,Charlestown,9920.0,Female,+ 970527740258  ,2018/10/27,115.0
169,Yi9W8x#^Hq,Harbour View #33,St. George Basseterre,KN0101,St. Kitts & Nevis,Basseterre,24573.0,Female,(590) 2517629,2017/02/04,56.0
170,AeraU0,Sunset Blvd #256,Gros Islet,LC12 301,St. Lucia,Castries,7340.0,Non-binary,+1 (758) 4651241893898469,2016/08/15,119.0
171,E@jeSj,Harbour View #10,Micoud,LC04 101,St. Lucia,Gros Islet,12361.0,Male,682-1719-553,2016/04/28,11.0
172,hjhq4xKf,Hibiscus Lane #270,St. Thomas Lowland,KN0101,St. Kitts & Nevis,Basseterre,11358.0,Prefer not to say,974-1328-34831,2016/10/17,30.0
173,JX@cWX,Market Street #199,Couva-Tabaquite-Talparo,TT5709,Trinidad & Tobago,San Fernando,13888.0,Non-binary,+1 (868) 6732044,2017-05-26,37.0
174,Hw47c4b7eT,Seaview Terrace #20,Gros Islet,9302,St. Lucia,Vieux Fort,10398.0,Female,+1 (758) 30440580935,2018/11/04,65.0
175,UQ0V8LduVf,Coral Ridge #242,St. Philip,78740,Barbados,Warrens,8820.0,Male,(943) 5353751376515,2016/06,83.0
176,rHKROpk01#s@,Bay Street #217,Chaguanas,TT7591,Trinidad & Tobago,Chaguanas,7911.0,Non-binary,+ 559991  ,2016/04/02,117.0
177,$ktaV6WP4w$JmDM@,Hibiscus Lane #87,Vieux Fort,LC04 101,St. Lucia,Castries,21837.0,Non-binary,+ 1388209  ,2017/02/03,106.0
178,p43@Hl,Cedar Park #286,St. Philip,BB14000,Barbados,Oistins,20554.0,Female,+1 (246) 2963347,2017-01-18,36.0
179,Awe1HWES9^xMDL!!,Harbour View #66,St. Ann,74117,Jamaica,Spanish Town,7695.0,Female,48360854,2018/04/22,56.0
180,v&AoQq*ccWlQTig%,Coconut Walk #13,San Fernando,00000,Trinidad & Tobago,San Fernando,24573.0,Female,+ 6624111860089219  ,2017-02-01,109.0
181,WL2lC0J9K&#F,Independence Ave #107,Soufrière,LC04 101,St. Lucia,Castries,13211.0,Prefer not to say,93074645205,2018/04,34.0
182,kn2jWqbu%pvz4oe2,Coconut Walk #242,St. James,07,Jamaica,Kingston,17182.0,Prefer not to say,+ 562271  ,2016/01/12,24.0
183,SbyJK2NV,Hibiscus Lane #47,St. Ann,20,Jamaica,Kingston,15580.0,Female,102-8767-5,2016/08/28,50.0
