First Name,Last Name,Email Address,Salt,Date of Birth,Street Name,Parish,Zip,Country,Contact Number
José,Núñez,Jos.Nez@kkhairemporium.com,4fa113e035ee0d64,,Bay Street #141,Castries,LC12 301,St. Lucia,+1 (758) 643611
Khadija De la,Cruz,Khadija.Cruz-711@kandk-hair.co,44205eb64de62343,,Harbour View #162,St. Ann,42477,Jamaica,99940438983
Kareem,Joseph,Kareem.Joseph@LOYALTY.KKHAIR.COM,2feb1f5b58337010,,Bay Street #77,San Fernando,00000,Trinidad & Tobago,+ 541951802380  
Jamal,Williams,Jamal.Williams-988@kandk-hair.co,7bc19850ce73e3ZZ,,Harbour View #191,St. George Basseterre,KN0101,St. Kitts & Nevis,(721) 510702966
Marlon ,Singh,Marlon.Singh@kandk-hair.co,bc3a9a45dfa5b75c,,Sugar Cane Way #1,St. Philip,85082,Barbados,+ 59391725135  
Anaïs De la,Cruz,Anas.Cruz@loyalty.kkhair.com,c5bcb5e18ee87814,,Queen's Road #278,Soufrière,LC04 101,St. Lucia,+ 79374160898  
Aaliyah,Browne,AALIYAH.BROWNE@mail.kkhair.net,0d3d443339bd8c%^,,Coral Ridge #206,Port of Spain,TT6431,Trinidad & Tobago,+ 50544471  
Jéssica,García,Jssica.Garca-217@mail.kkhair.net,6171e1b68bec307b,,Cedar Park #243,Arima,82264,Trinidad & Tobago,06029333
Tia ,Best,Tia.Best-973@kkhairemporium.com,ead4afb65c077460,,Sugar Cane Way #20,Diego Martin,TT5190,Trinidad & Tobago,+1 (868) 100167618472
Kareem,García,Kareem.Garca@mail.kkhair.net,4ff3de128a07a3d7,,Cedar Park #286,St. George,BB14000,Barbados,(721) 7535408386631
Sade ,Johnson,Sade.Johnson@KKHAIREMPORIUM.COM,7eafbe3370ab9b31,,Sugar Cane Way #210,Port of Spain,00000,Trinidad & Tobago,+ 3516091779  
Tyrone  García ,Pérez,Tyrone.Prez@kkhairemporium.com,b669e52553c1d884,,Mango Tree Drive #80,Castries,LC12 301,St. Lucia,+ 9851583281  
Zoë,Johnson,ZO.JOHNSON-23@kandk-hair.co,,,,,,,
Tanesha,Hernández,Tanesha.Hernndez@domain_with_space.mail.kkhair.net,,,,,,,
Tanesha,Alleyne,Tanesha.Alleyne@MAIL.KKHAIR.NET,3ab85878fab5fd6d,,Harbour View #144,St. John Figtree,KN0302,St. Kitts & Nevis,(143) 8663227026728
Rashida,Morris-Best,Rashida.Morris-Best@kkhairemporium.com,afe8e45ed9bf72e9,,Palm Grove #1,Arima,27865,Trinidad & Tobago,774-0649-30853
Anaïs,Alleyne,Anas.Alleyne@loyalty.kkhair.com,f6a041053984e072,,Harbour View #160,Diego Martin,TT8597,Trinidad & Tobago,+1 (868) 2046187234601367
Devon,Browne,DEVON.BROWNE@kandk-hair.co,,,,,,,
Tyrone,Brathwaite,Tyrone.Brathwaite@kandk-hair.co,d45a235a40add9e8,,Independence Ave #14,St. Ann,90864,Jamaica,+1 (876) 33051728975
Sade,Charles,SADE.CHARLES@mail.kkhair.net,,,,,,,
José ,Núñez,Jos.Nez@mail.kkhair.net,7dcacccd65f46cbd,,Sunset Blvd #9,San Fernando,00000,Trinidad & Tobago,+1 (868) 7969278687653269
Renée,Greenidge,Rene.Greenidge@kandk-hair.co,b18315ecf9f7ccf8,,Bay Street #230,St. James,11,Jamaica,6945441496739385
Keisha,Forde,Keisha.Forde@@KANDK-HAIR.CO,ffdc270cf3ba9c12,,Mango Tree Drive #149,St. Philip,BB17001,Barbados,+1 (246) 346157173203
Sofía,Charles,Sofa.Charles_739@mail.kkhair.net,c72ff1d46e5cb4e6,,Independence Ave #17,St. Philip,BB14000,Barbados,+ 7762534929298316  
Latoya,García,Latoya.Garca@kandk-hair.co,0d64b9720f95e0ee,,Cedar Park #190,St. John Figtree,KN0101,St. Kitts & Nevis,04649893195
Mikaël,Morris,Mikal.Morris@kandk-hair.co,bef3f9eb26e22c59,,Coconut Walk #58,Dennery,3424,St. Lucia,682-7567-0
Latoya,Hernández,Latoya.Hernndez@kandk-hair.co,1678602e2c6fa1bc,,Queen's Road #7,Vieux Fort,LC12 301,St. Lucia,+1 (758) 7674266
Noël,Joseph,NOL.JOSEPH@kkhairemporium.com,99fe700489f39d5f,,Bamboo Crescent #142,Diego Martin,TT6927,Trinidad & Tobago,+1 (868) 4715890429025725
Andre,Grant,Andre.Grant.188@kkhairemporium.com,bfda5364763de234,,Sugar Cane Way #186,Gros Islet,LC12 301,St. Lucia,+1 (758) 132234
Jamal,Greenidge,JAMAL.GREENIDGE@kkhairemporium.com,f3ce234cc352b6a6,,Cedar Park #218,Dennery,LC12 301,St. Lucia,6579678427114773
Devon,Alleyne,Devon.Alleyne@kkhairemporium.com,,,,,,,
Rashida,Singh,RASHIDA.SINGH@mail.kkhair.net,94b3b6fecf8d2db5,,Market Street #175,St. Thomas,BB17001,Barbados,+ 8814761742  
Dwayne,Ramdeen-Forde,Dwayne.Ramdeen-Forde@mail.kkhair.net,d9aee8a565283d00,,Mango Tree Drive #236,Couva-Tabaquite-Talparo,63096,Trinidad & Tobago,(641) 220310303
Kofi,Pérez,Kofi.Prez@mail.kkhair.net,9629a500879d31b8,,Bamboo Crescent #64,St. John Figtree,KN0101,St. Kitts & Nevis,(998) 9354492683158
Anaïs,Best,ANAS.BEST@mail.kkhair.net,e436ef15b3d33b91,,Queen's Road #156,Chaguanas,00000,Trinidad & Tobago,+1 (868) 443270
Latoya,Ramdeen,Latoya.Ramdeen@kandk-hair.co,e8250932616f0350,,Sugar Cane Way #297,Diego Martin,TT9741,Trinidad & Tobago,+1 (868) 0562608564
Sofía,Charles,Sofa.Charles@loyalty.kkhair.com,915292c348d6aa8e,,Mango Tree Drive #169,Port of Spain,TT1033,Trinidad & Tobago,268-7681-18071
Aaliyah ,García,Aaliyah.Garca@kandk-hair.co,fb18f606c38f5652,,Bay Street #292,San Fernando,00000,Trinidad & Tobago,(870) 605664187
Chloë,Núñez,Chlo.Nez@mail.kkhair.net,ac6c50b02b0349e6,,Palm Grove #102,St. Andrew,10,Jamaica,+1 (876) 83230241
Tanesha,Charles,Tanesha.Charles@domain_with_space.kandk-hair.co,b29287332b16a6a8,,Coral Ridge #71,Dennery,LC12 301,St. Lucia,+ 5669078263337389  
D’Andre ,Morris,DAndre.Morris@#.loyalty.kkhair.com,a30ec40387befd60,,Queen's Road #24,St. Thomas Lowland,KN0302,St. Kitts & Nevis,+ 915671649328  
D’Andre De la,Cruz,DAndre.Cruz@kkhairemporium.com,,,,,,,
Jermaine De la,Cruz,Jermaine.Cruz@loyalty.kkhair.com,156f83dff4acc433,,Market Street #7,St. Peter,BB17001,Barbados,9067447163
Noël,Lewis,Nol.Lewis.802@kkhairemporium.com,4d0621cd977adf1d,,Queen's Road #144,St. James,BB17001,Barbados,005-347
Tyrone,Hernández,TYRONE.HERNNDEZ@ kandk-hair.co,d7ec3403cc030147,,Seaview Terrace #7,Castries,LC12 301,St. Lucia,+1 (758) 7972457
Jamal,Clarke,JAMAL.CLARKE@mail.kkhair.net,c3f53739b2a3b214,,Independence Ave #218,St. Peter Basseterre,KN0503,St. Kitts & Nevis,5410225267
Kareem,Greenidge,Kareem.Greenidge_750@kkhairemporium.com,4f46a1c1bdf6160d,,Sunset Blvd #141,St. Thomas,BB23026,Barbados,+ 34201654235  
Aaliyah,Singh,Aaliyah.Singh@kkhairemporium.com,bc2af1c9ef3b3071,,Queen's Road #224,San Fernando,00000,Trinidad & Tobago,040104145964
Mikaël,Johnson,MIKAL.JOHNSON.455@MAIL.KKHAIR.NET,756ff993fb8cc3ed,,Mango Tree Drive #62,St. Paul Charlestown,KN0101,St. Kitts & Nevis,+ 970527740258  
Devon Alleyne,Lewis,DEVON.LEWIS@kkhairemporium.com,6d128a2e5888f475,,Seaview Terrace #20,Gros Islet,9302,St. Lucia,+1 (758) 30440580935
Rohan van der,Kringle,Rohan.Kringle@kkhairemporium.com,cbf93739dea7d35e,,Harbour View #66,St. Ann,74117,Jamaica,48360854
Tia,Lewis,Tia.Lewis@kkhairemporium.com,65c795bad670103c,,Coconut Walk #13,San Fernando,00000,Trinidad & Tobago,+ 6624111860089219  
D’Andre,Brathwaite,DAndre.Brathwaite@kkhairemporium.com,fcb3e70c7ebf39a4,,Independence Ave #107,Soufrière,LC04 101,St. Lucia,93074645205
Jéssica,Alleyne,Jssica.Alleyne@kkhairemporium.com,50bebd66cb506e%^,,Queen's Road #130,Arima,00000,Trinidad & Tobago,+1 (868) 0440907977
Latoya,Williams,Latoya.Williams@KKHAIREMPORIUM.COM,50eedcf78bafc917,,Harbour View #138,Manchester,13,Jamaica,+ 98392250  
Jermaine,Alleyne,Jermaine.Alleyne@loyalty.kkhair.com,fc6fce73c4a4ca9d,,Mango Tree Drive #14,Gros Islet,LC10 201,St. Lucia,099-6132-7303
Kirsten,Williams,Kirsten.Williams-184kandk-hair.co,4ce0fcd19d83ebfa,,Independence Ave #218,Manchester,13,Jamaica,+ 943897607401  
José Pérez,Ramdeen,Jos.Ramdeen@kandk-hair.co,a729edacf0aaabe4,,Sugar Cane Way #88,Clarendon,43514,Jamaica,+1 (876) 785138544577
Kirsten,Dottin-Grant,Kirsten.Dottin-Grant@kandk-hair.co,5cdb6d8ab3ac7cfe,,Cedar Park #91,Diego Martin,TT1054,Trinidad & Tobago,216966630932
Dwayne,Pérez,Dwayne.Prez@MAIL.KKHAIR.NET,683a2ef78a9eae88,,Coconut Walk #14,Christ Church,BB23026,Barbados,294-7742-22946
Aaliyah,Alleyne,Aaliyah.Alleyne@@mail.kkhair.net,bd0437e3394b9ed2,,Cedar Park #262,St. Andrew,05,Jamaica,+1 (876) 92988085838
Marlon,García,Marlon.Garca@mail.kkhair.net,9621d44f57c5dc67,,Coconut Walk #72,St. John Figtree,KN0302,St. Kitts & Nevis,450-1848-19737
Kareem van der,Kringle,Kareem.Kringle@mail.kkhair.net,bb78e1ae856acb5f,,Market Street #117,St. James,BB14000,Barbados,972-6347-5
D’Andre,Pérez,DAndre.Prez@LOYALTY.KKHAIR.COM,7b7e81eefd250e1b,,Queen's Road #34,Dennery,LC12 301,St. Lucia,+ 2637484539  
Renée,Ramdeen,Rene.Ramdeen@ loyalty.kkhair.com,550f3a23ccdcf4a5,,Harbour View #130,St. John Figtree,KN0302,St. Kitts & Nevis,+1 (869) 5157184
Mikaël St.,Clair,Mikal.Clair@loyalty.kkhair.com,968d0ddc86f80c1e,,Sunset Blvd #60,St. Andrew,16,Jamaica,+ 464844941163  
Latoya,Williams,LATOYA.WILLIAMS.285@kandk-hair.co,f6df095a9d349ab4,,Mango Tree Drive #190,Diego Martin,42258,Trinidad & Tobago,748595325939
D’Andre,Thompson,DANDRE.THOMPSON-567@KKHAIREMPORIUM.COM,06bce74fd579f2d0,,Bay Street #75,Couva-Tabaquite-Talparo,15236,Trinidad & Tobago,+ 548954787698  
Sade,Charles,Sade.Charles@loyalty.kkhair.com,d88d6496ba6e5397,,Seaview Terrace #255,Chaguanas,42195,Trinidad & Tobago,+1 (868) 52491416860
Devon,García,Devon.Garca-644@mail.kkhair.net,3d61103a89d7778b,,Coral Ridge #163,St. Peter Basseterre,3815,St. Kitts & Nevis,+1 (869) 1994711
Aaliyah,Hernández,Aaliyah.Hernndez@loyalty.kkhair.com,86fdaa0fce6b42c5,,Queen's Road #208,St. Thomas Lowland,KN0503,St. Kitts & Nevis,(931) 706
Shanice,Brathwaite,Shanice.Brathwaite@kandk-hair.co,eeb6e4d17439b1be,,Coconut Walk #182,Micoud,LC04 101,St. Lucia,348-2012-8
Kareem,Clarke,Kareem.Clarke@LOYALTY.KKHAIR.COM,c8c7119046d6d4d8,,Sunset Blvd #84,St. George Basseterre,5350,St. Kitts & Nevis,+ 7117595  
Chloë De la,Cruz,Chlo.Cruz@domain_with_space.loyalty.kkhair.com,c19834777e43bdcd,,Independence Ave #247,Dennery,LC12 301,St. Lucia,626-7055-143776936
D’Andre,Greenidge,DAndre.Greenidge@mail.kkhair.net,e4429aa7fdd396f1,,Sunset Blvd #26,Port of Spain,00000,Trinidad & Tobago,+1 (868) 5725659202461752
Tanesha ,Núñez,Tanesha.Nez-729@loyalty.kkhair.com,8c6d1e9e19a0d2fd,,Queen's Road #115,Diego Martin,TT5919,Trinidad & Tobago,408-3037-360
Renée,Singh,Rene.Singh@mail.kkhair.net,,,,,,,
Jamal,Hernández,Jamal.Hernndez@kkhairemporium.com,bc38572a5530f645,,Harbour View #3,Dennery,LC12 301,St. Lucia,830-6396-384
Tanesha St.,Clair,TANESHA.CLAIR@loyalty.kkhair.com,7d02347d16ed23e4,,Sunset Blvd #19,Chaguanas,00000,Trinidad & Tobago,+ 1539114  
Rashida ,Browne,Rashida.Browne@kandk-hair.co,be50308655715666,,Mango Tree Drive #116,Micoud,LC04 101,St. Lucia,+1 (758) 46212760
José van der,Kringle,Jos.Kringlekkhairemporium.com,5226f3eb104bac39,,Market Street #76,Manchester,80780,Jamaica,(248) 9056
Kofi,Morris-Grant,Kofi.Morris-Grant.529@loyalty.kkhair.com,1d67deb05421813c,,Market Street #271,St. Philip,BB23026,Barbados,+1 (246) 2877383638164321
Andre,Thompson,Andre.Thompson@MAIL.KKHAIR.NET,568ab1d5d3ffd468,,Coconut Walk #284,St. Michael,79181,Barbados,+1 (246) 7882603
Dwayne,Charles,Dwayne.Charles@loyalty.kkhair.com,,,,,,,
Khadija Thompson St.,Clair,KHADIJA.CLAIR@KKHAIREMPORIUM.COM,7880fee9c51e4cd4,,Bamboo Crescent #48,Couva-Tabaquite-Talparo,74499,Trinidad & Tobago,4068841333731255
Mikaël,García,MIKAL.GARCA.953@mail.kkhair.net,7e0fdc3ef1cf7c40,,Independence Ave #44,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,+1 (868) 216505871469
Renée,Hernández,Rene.Hernndez@kandk-hair.co,165118feeb6bb57c,,Coconut Walk #155,St. Andrew,13,Jamaica,+ 715239  
Tanesha,Morris,Tanesha.Morris@kkhairemporium.com,3aa8507917130bcf,,Bay Street #158,Arima,18504,Trinidad & Tobago,+ 46234712  
Jamal,Singh,Jamal.Singh@mail.kkhair.net,7d438ab1cf010949,,Coconut Walk #193,St. Thomas,BB23026,Barbados,760-5642-045
Jéssica,Charles,Jssica.Charles@kkhairemporium.com,b012c718a61c7a48,,Hibiscus Lane #157,Castries,LC04 101,St. Lucia,784-8165-244
Latoya,Clarke,Latoya.Clarke@kandk-hair.co,,,,,,,
Andre ,Clarke,Andre.Clarke@MAIL.KKHAIR.NET,220cb922790ea3c8,,Coral Ridge #8,St. James,BB17001,Barbados,+1 (246) 82689996
Rashida,Best,Rashida.Best.699@MAIL.KKHAIR.NET,c074024dbe5c0920,,Independence Ave #38,St. Ann,57344,Jamaica,+ 7741274692  
Tyrone,Singh,Tyrone.Singh@kkhairemporium.com,2e96be87a4d1c8d1,,Market Street #113,Dennery,LC12 301,St. Lucia,425-3646-2805
José,Morris,Jos.Morris-164@kandk-hair.co,9037323ec304a9__,,Palm Grove #208,Dennery,LC10 201,St. Lucia,+ 201227595002  
Tanesha,Forde,Tanesha.Forde@domain_with_space.kandk-hair.co,0416184744efb437,,Bamboo Crescent #67,St. George,22260,Barbados,(630) 05937
Khadija,Pérez,KHADIJA.PREZ@kandk-hair.co,bb67454e76509bf7,,Harbour View #219,Port of Spain,00000,Trinidad & Tobago,870826
Anaïs ,Jean-Baptiste,Anas.Jean-Baptiste-103@loyalty.kkhair.com,644503984b455bc1,,Seaview Terrace #26,St. James,93287,Jamaica,+ 04674130753  
Sade Williams St.,Clair,Sade.Clair@,2b2d822aad802c6a,,Independence Ave #31,St. John Figtree,KN0302,St. Kitts & Nevis,+1 (869) 2019712124
Mikaël,Singh,MIKAL.SINGH@ mail.kkhair.net,db769632ca960a57,,Coral Ridge #36,Chaguanas,13082,Trinidad & Tobago,747-0002-6876
Dwayne,Campbell,Dwayne.Campbell@mail.kkhair.net,2fe92e86196a147b,,Market Street #144,St. Thomas,BB23026,Barbados,233-2829-30202
Marlon,Clarke,Marlon.Clarke.126@mail.kkhair.net,158b612578f57068,,Market Street #152,St. Thomas,BB14000,Barbados,+ 2405076  
Zoë,Dottin,Zo.Dottin@mail.kkhair.net,e4f4a254a1acc984,,Hibiscus Lane #232,Arima,00000,Trinidad & Tobago,187803
Andre De la,Cruz,Andre.Cruz@MAIL.KKHAIR.NET,554fc877e550b944,,Queen's Road #134,St. Paul Charlestown,KN0302,St. Kitts & Nevis,(833) 444704887
D’Andre,Browne-Alleyne,DANDRE.BROWNE-ALLEYNE@loyalty.kkhair.com,fa55b40d2cb2440b,,Coconut Walk #60,St. Michael,52281,Barbados,+ 55963637262  
Kirsten,Dottin,Kirsten.Dottin.536@kkhairemporium.com,bd79bf504ccbcc5b,,Mango Tree Drive #105,St. James,BB17001,Barbados,46074299074
Devon ,Grant-Baptiste,Devon.Grant-Baptiste.469@loyalty.kkhair.com,a6c3c9089a05c0a5,,Independence Ave #235,Port of Spain,61997,Trinidad & Tobago,(824) 845
Devon ,Charles,Devon.Charles@kandk-hair.co,1bcc3b60bc9386e9,,Bamboo Crescent #246,St. George Basseterre,2938,St. Kitts & Nevis,+1 (869) 136510
Tia,Ramdeen,Tia.Ramdeen@kandk-hair.co,,,,,,,
Jéssica,Browne,JSSICA.BROWNE.966@kkhairemporium.com,,,,,,,
Tia,Best,TIA.BEST@mail.kkhair.net,d0937851873a6624,,Palm Grove #35,St. James,BB14000,Barbados,291-4304-913
Rohan,Jean-Baptiste,Rohan.Jean-Baptiste_955@kandk-hair.co,132972264cc33a8a,,Harbour View #124,St. Peter Basseterre,KN0101,St. Kitts & Nevis,+1 (869) 472205
Shanice van der,Kringle,Shanice.Kringle@ loyalty.kkhair.com,dc07d3d49d0e09e4,,Hibiscus Lane #181,St. George Basseterre,KN0503,St. Kitts & Nevis,+ 0173167  
Jermaine Ramdeen,Williams,Jermaine.Williamsloyalty.kkhair.com,cd9c6dac376af8ec,,Mango Tree Drive #26,St. Peter Basseterre,4979,St. Kitts & Nevis,(430) 19220956
Khadija St.,Clair,Khadija.Clair@kandk-hair.co,1c268bc9e8c0ade8,,Seaview Terrace #278,St. Peter Basseterre,1060,St. Kitts & Nevis,+ 1080926166201655  
Sade,Baptiste,Sade.Baptiste@loyalty.kkhair.com,ad491b2dcb8a3458,,Market Street #242,Vieux Fort,LC10 201,St. Lucia,608-3570-1703
Tyrone,Núñez,Tyrone.Nez.341@kkhairemporium.com,fff48a4836bc809a,,Bamboo Crescent #194,Dennery,LC12 301,St. Lucia,+1 (758) 3940598026
Renée,Greenidge,Rene.Greenidge@KANDK-HAIR.CO,2cb2b87dc0e699cf,,Sunset Blvd #177,Clarendon,56758,Jamaica,+ 91617050  
Noël van der,Kringle,Nol.Kringle@loyalty.kkhair.com,a7a6d4a7496cf493,,Mango Tree Drive #215,St. Andrew,39439,Jamaica,8586390616
Chloë,Campbell,Chlo.Campbell@kkhairemporium.com,,,,,,,
Tanesha,Joseph,Tanesha.Joseph-720@,313c35b03c781267,,Bay Street #215,St. John Figtree,KN0503,St. Kitts & Nevis,+ 984101  
Renée,Grant,Rene.Grant@MAIL.KKHAIR.NET,c9d62721f93c3957,,Bay Street #25,St. George Basseterre,KN0101,St. Kitts & Nevis,696-261
Anaïs,Alleyne,Anas.Alleyne_807@MAIL.KKHAIR.NET,3f440fd5633b5474,,Independence Ave #146,St. Michael,BB23026,Barbados,35999400410
Rohan,Williams,Rohan.Williams@mail.kkhair.net,3380cb5dc95de7b2,,Coconut Walk #162,St. James,BB17001,Barbados,697-6487-8
Noël,Brathwaite,NOL.BRATHWAITE@kandk-hair.co,a9c3fb1161982191,,Harbour View #261,St. James,BB17001,Barbados,+1 (246) 83747558
Sofía,Alleyne,SOFA.ALLEYNE-563@loyalty.kkhair.com,,,,,,,
Tia De la,Cruz,TIA.CRUZ@kkhairemporium.com,e5fcd78a2b15a4b9,,Market Street #240,San Fernando,TT9768,Trinidad & Tobago,+1 (868) 738277771184
Andre,Dottin,Andre.Dottin@mail.kkhair.net,9fdf5110b42831f0,,Market Street #187,St. Ann,95748,Jamaica,085-1191-944
Kofi,Alleyne,KOFI.ALLEYNE-511@kkhairemporium.com,c34cce70bbf6e36f,,Independence Ave #112,Clarendon,97453,Jamaica,6627633041176142
José,Ramdeen,Jos.Ramdeen@mail.kkhair.net,,,,,,,
Jamal St.,Clair,Jamal.Clair@kkhairemporium.com,99859840587b09ed,,Sugar Cane Way #264,Soufrière,LC12 301,St. Lucia,+ 94147539891  
Mikaël,Browne,Mikal.Brownekandk-hair.co,fd5c92d797d1c6ab,,Sunset Blvd #73,Soufrière,9999,St. Lucia,930-4852-775867036
Keisha,Morris,Keisha.Morris@LOYALTY.KKHAIR.COM,d2df08edcc40b4bc,,Seaview Terrace #35,St. James,BB17001,Barbados,(292) 764054739
Latoya,Brathwaite,Latoya.Brathwaite-331@loyalty.kkhair.com,3fd8a78dba2bd93c,,Sugar Cane Way #5,St. George Basseterre,KN0503,St. Kitts & Nevis,(163) 015
José,Joseph,Jos.Joseph@kandk-hair.co,feaa425c5d86bcf8,,Market Street #12,St. Ann,16,Jamaica,+1 (876) 81775512944
Rohan De la,Cruz,Rohan.Cruz.779@kandk-hair.co,97dff3ad54081fc7,,Queen's Road #238,Soufrière,LC04 101,St. Lucia,547734
Rashida,Charles,Rashida.Charles@loyalty.kkhair.com,de280601e7bdb4c0,,Seaview Terrace #213,St. Andrew,87502,Jamaica,866-9112-2321
Keisha,Núñez,Keisha.Nez@kandk-hair.co,a89233a26ce60a41,,Coral Ridge #111,Diego Martin,66208,Trinidad & Tobago,+ 7146220148333540  
Jamal,Clarke,JAMAL.CLARKE@kkhairemporium.com,e3ff2f061bde1924,,Sunset Blvd #201,Vieux Fort,LC10 201,St. Lucia,(376) 8418
Noël Morris,Grant,Nol.Grant@mail.kkhair.net,deaf8a309819e632,,Queen's Road #149,San Fernando,73392,Trinidad & Tobago,9476111079764754
Khadija,Ramdeen,Khadija.Ramdeen@loyalty.kkhair.com,d0dc5d264df1eeee,,Seaview Terrace #106,Manchester,19,Jamaica,+1 (876) 9271107351
Kirsten,Charles,KIRSTEN.CHARLES@kandk-hair.co,0c870cb46aeca492,,Sugar Cane Way #25,St. Michael,BB23026,Barbados,+ 87531198  
Mikaël,Williams,Mikal.Williams@loyalty.kkhair.com,,,,,,,
Chloë,Grant,Chlo.Grant@kkhairemporium.com,,,,,,,
Renée,Holder,Rene.Holder_470@mail.kkhair.net,6d0113129d3164f3,,Bamboo Crescent #201,St. George Basseterre,KN0302,St. Kitts & Nevis,+ 8785185690  
Tanesha,Grant,Tanesha.Grant@mail.kkhair.net,067b70195ccb6c3f,,Mango Tree Drive #111,St. George,49772,Barbados,+ 72385865392  
Tanesha St. Clair,Campbell,Tanesha.Campbell@MAIL.KKHAIR.NET,433c4a0c6b8c9c%^,,Palm Grove #119,St. George,BB23026,Barbados,+1 (246) 186692552905
Tia,Forde,TIA.FORDE@kandk-hair.co,2ded80747275a44c,,Bay Street #124,Diego Martin,TT5260,Trinidad & Tobago,+1 (868) 2252964448436868
Kirsten De la,Cruz,Kirsten.Cruz@kandk-hair.co,39844d56106d0e44,,Seaview Terrace #271,Christ Church,BB17001,Barbados,+1 (246) 4375391692809166
Kofi,Alleyne,Kofi.Alleyne_879@kkhairemporium.com,99a03a3fd94d5049,,Cedar Park #10,Couva-Tabaquite-Talparo,TT7683,Trinidad & Tobago,+1 (868) 315255
Rohan,Núñez,Rohan.Nez@kkhairemporium.com,1f61e3eec36a00f6,,Hibiscus Lane #257,St. Thomas Lowland,KN0101,St. Kitts & Nevis,+ 99528502312  
Marlon,Brathwaite,MARLON.BRATHWAITE@mail.kkhair.net,9da17babbe1411d3,,Coconut Walk #136,Chaguanas,83872,Trinidad & Tobago,(893) 912
Tia,Johnson,TIA.JOHNSON@,f53c5267725c430a,,Independence Ave #214,St. Michael,BB17001,Barbados,774270549857
Khadija,Morris,Khadija.Morris-704@kkhairemporium.com,,,,,,,
Latoya ,Jean-Baptiste,Latoya.Jean-Baptiste@KKHAIREMPORIUM.COM,9d21a22101f13fb0,,Independence Ave #179,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,920-1029-75997
Khadija,Alleyne,Khadija.Alleyne@loyalty.kkhair.com,28dda7527bd361e6,,Bamboo Crescent #21,Gros Islet,3421,St. Lucia,+ 72055482987  
Rohan,Jean-Baptiste,Rohan.Jean-Baptiste@#.mail.kkhair.net,fe78e20d5778bbf7,,Seaview Terrace #67,St. Peter,69364,Barbados,453585
Shanice,Clarke,Shanice.Clarke@loyalty.kkhair.com,,,,,,,
Devon,Brathwaite,Devon.Brathwaite@,,,,,,,
Latoya,O'Connor,Latoya.OConnor@mail.kkhair.net,,,,,,,
Keisha,Best,Keisha.Best@MAIL.KKHAIR.NET,bc57e47f55a63177,,Sugar Cane Way #160,Gros Islet,LC12 301,St. Lucia,433331
Keisha St.,Clair,Keisha.Clair@mail.kkhair.net,c1ce79fdf29d74b2,,Queen's Road #95,St. Catherine,71564,Jamaica,59637439
Marlon,García,Marlon.Garca@kandk-hair.co,97b8ca5353bc17__,,Cedar Park #159,Soufrière,5763,St. Lucia,03764747691
Marlon,Alleyne,MARLON.ALLEYNE@kkhairemporium.com,8e4d866609bd51cc,,Coconut Walk #279,St. James,BB14000,Barbados,435-8498-11846
Shanice,Charles,SHANICE.CHARLES@ kandk-hair.co,273a909956d8f528,,Cedar Park #269,St. John Figtree,2593,St. Kitts & Nevis,991-5738-0
Dwayne,O'Connor,DWAYNE.OCONNOR@mail.kkhair.net,4db7ed669ce8d8cd,,Cedar Park #70,Diego Martin,35764,Trinidad & Tobago,+1 (868) 0941010276078195
