First Name,Last Name,Email Address,Salt,Date of Birth,Contact Number,Address
Sade,Browne,Sade.Browne_54@#.KANDK-HAIR.CO,7d5799e68f2bcc5f,2000/05/01,(828) 24674746,"Harbour View #80, St. John Figtree, 1324, St. Kitts & Nevis"
D’Andre Grant,Morris,DAndre.Morris@#.kkhairemporium.com,42846d2971fb7cdc,1963/10/21,923-4268-344149782,"Bay Street #155, St. George, BB17001, Barbados"
Jamal Browne,Charles,Jamal.Charles@#.loyalty.kkhair.com,e54e013993b553f6,1985/04/08,352-3736-0,"Bay Street #281, Soufrière, LC04 101, St. Lucia"
Zoë,Campbell,ZO.CAMPBELL@@KANDK-HAIR.CO,aebfbf9fa6751bde,1984/02/06,+1 (758) 0256265062,"Cedar Park #207, Soufrière, 8608, St. Lucia"
Dwayne,Lewis,DWAYNE.LEWIS@#.MAIL.KKHAIR.NET,0630d3a6e443badc,1979/09/05,+ 7460406720  ,"Hibiscus Lane #75, St. Peter Basseterre, KN0503, St. Kitts & Nevis"
Jamal,Forde,Jamal.Forde_717@,ce234173fc415747,2000/08/11,+ 45822067  ,"Market Street #38, San Fernando, 80648, Trinidad & Tobago"
José,Best,JOS.BEST@#.loyalty.kkhair.com,274f0118cdd39a02,1959/07/16,388-1949-0531,"Mango Tree Drive #240, Port of Spain, 00000, Trinidad & Tobago"
Khadija,Morris,Khadija.Morris@#.mail.kkhair.net,46f91ff8775ad569,1965/03/22,+ 370878  ,"Mango Tree Drive #8, St. George Basseterre, KN0302, St. Kitts & Nevis"
Rohan,Jean-Baptiste,Rohan.Jean-Baptiste@,1bb07210c9690630,1966/04/23,913599285535,"Bay Street #110, Soufrière, LC12 301, St. Lucia"
Chloë,Browne,Chlo.Browne@,6e03811b4e20baZZ,1998/05/29,609439,"Independence Ave #66, Kingston, 34419, Jamaica"
Jéssica,O'Connor,JSSICA.OCONNORKANDK-HAIR.CO,39f32fe4d8356301,1993/10/03,+ 285386310505  ,"Palm Grove #87, Dennery, LC04 101, St. Lucia"
Kofi,Singh,Kofi.Singh@domain_with_space.mail.kkhair.net,4ad55530a769e08f,1989/11/18,+1 (876) 3835071245531290,"Coconut Walk #167, St. Catherine, 39207, Jamaica"
Chloë,Browne,CHLO.BROWNE.888MAIL.KKHAIR.NET,202564d2b2408b0f,1994/01/17,7634601,"Hibiscus Lane #133, St. James, BB14000, Barbados"
Zoë,Baptiste,Zo.Baptiste_559@,6765057b214bab13,1975/04/19,+1 (868) 393332436296,"Coconut Walk #169, Couva-Tabaquite-Talparo, 00000, Trinidad & Tobago"
Shanice,Ramdeen,Shanice.Ramdeen@@loyalty.kkhair.com,86433971efe48e4b,1977/07/19,819204877067,"Independence Ave #48, St. George, BB17001, Barbados"
Devon ,Ramdeen,Devon.Ramdeen@@mail.kkhair.net,910721277b65459e,1974/12/07,+ 64616076  ,"Palm Grove #24, Soufrière, LC10 201, St. Lucia"
Kofi,Ramdeen,Kofi.Ramdeenloyalty.kkhair.com,c8e05b9b7c4d18e5,1993/12/04,+ 574216435990  ,"Coconut Walk #33, St. George Basseterre, KN0503, St. Kitts & Nevis"
Rashida,Forde,Rashida.Forde@ mail.kkhair.net,bd8de4c7c2b92b11,1997/08/25,860435660503,"Independence Ave #296, Port of Spain, 11453, Trinidad & Tobago"
Aaliyah García,Forde,Aaliyah.Forde@,985c9506727a9039,2005/09/27,8730549824388430,"Harbour View #231, Kingston, 13, Jamaica"
Latoya,Brathwaite,Latoya.Brathwaite.628@@mail.kkhair.net,0fdd38c41bc402fb,1955/04/02,+1 (869) 4043474,"Harbour View #210, St. George Basseterre, 9621, St. Kitts & Nevis"
Kirsten,Charles,Kirsten.Charles@,0567b2e9cbd94c13,1977/02/05,922-7764-1,"Independence Ave #195, San Fernando, TT6844, Trinidad & Tobago"
Aaliyah,Joseph,Aaliyah.Joseph.613@@loyalty.kkhair.com,058dd6851b7def78,2004/05/10,(266) 55914,"Queen's Road #91, Micoud, LC10 201, St. Lucia"
Noël,Forde,NOL.FORDE@domain_with_space.KANDK-HAIR.CO,544092de53b75cc6,1955/06/12,+1 (876) 04850220619,"Independence Ave #182, St. Ann, 02, Jamaica"
Jamal,Williams,Jamal.Williams-998@#.MAIL.KKHAIR.NET,3caf624bcb2e23__,1987/05/24,+1 (869) 70302930,"Palm Grove #95, St. Thomas Lowland, KN0302, St. Kitts & Nevis"
Dwayne,García,Dwayne.Garca_395@#.kkhairemporium.com,5157fccdd55b77c2,1963/05/02,(424) 0662,"Seaview Terrace #278, St. Ann, 07, Jamaica"
José,Ramdeen,Jos.Ramdeen-829@ kkhairemporium.com,8cdac45b55503647,1958/09/29,+ 7809645837  ,"Market Street #264, St. Catherine, 80146, Jamaica"
Jermaine,Johnson,JERMAINE.JOHNSON@#.kkhairemporium.com,e8076e88e07737c9,1991/04/17,+1 (868) 31805763,"Sunset Blvd #3, Diego Martin, 00000, Trinidad & Tobago"
Kofi,Dottin,KOFI.DOTTIN@@mail.kkhair.net,c387ec7100f7f998,1977/08/31,+1 (869) 626543475916,"Coconut Walk #142, St. George Basseterre, 1708, St. Kitts & Nevis"
Andre,Brathwaite,ANDRE.BRATHWAITE@,fcb1feb4be472c63,1972/07/27,703-9963-0,"Seaview Terrace #258, Dennery, LC04 101, St. Lucia"
Sofía,Morris,Sofa.Morris@@mail.kkhair.net,477615abf41d4739,1985/07/30,+1 (876) 196804505211,"Market Street #259, Clarendon, 20, Jamaica"
Kofi,Ramdeen,Kofi.Ramdeen@domain_with_space.kkhairemporium.com,b4d6946f4a9954a6,1961/01/24,+1 (868) 53882872,"Market Street #286, San Fernando, 82553, Trinidad & Tobago"
Tyrone,Morris,Tyrone.Morris@,343ff8e9fe7ba967,2006/12/01,646-912,"Bamboo Crescent #64, St. Andrew, 12, Jamaica"
Sofía De la,Cruz,Sofa.Cruz@ mail.kkhair.net,5c7230b04451f9ab,2002/03/07,35433732783,"Independence Ave #227, St. Ann, 74273, Jamaica"
Rashida,Pérez,Rashida.Prez@,ad8ee0f1d10f8c38,1977/03/16,+ 8716387621  ,"Palm Grove #27, St. Thomas Lowland, 2299, St. Kitts & Nevis"
Anaïs,Clarke,ANAS.CLARKE@ MAIL.KKHAIR.NET,852546753a00e364,1955/08/09,417-6604-5,"Coconut Walk #262, Vieux Fort, 6752, St. Lucia"
Sade,Jean-Baptiste,Sade.Jean-Baptiste@@kandk-hair.co,c5ce8fd56f06b8fe,1971/08/20,941232806253,"Sunset Blvd #293, St. Peter, BB14000, Barbados"
Devon,O'Connor,Devon.OConnor-710mail.kkhair.net,5bc119363dcfeb4f,1955/01/20,642729,"Independence Ave #230, Manchester, 23446, Jamaica"
Dwayne,Best,Dwayne.Best@@mail.kkhair.net,5a7414a9d2df9dee,1961/02/14,+ 3959459211857235  ,"Bamboo Crescent #292, St. Paul Charlestown, KN0302, St. Kitts & Nevis"
Tia ,Jean-Baptiste,Tia.Jean-Baptiste@ loyalty.kkhair.com,c9f459ba3f177b29,1971/07/04,+ 53980488  ,"Seaview Terrace #209, St. Thomas, BB14000, Barbados"
Kofi,Williams,Kofi.Williams@@kkhairemporium.com,9336f379d730f1fd,1983/10/27,(544) 747334359,"Harbour View #28, Castries, LC10 201, St. Lucia"
Andre,Dottin,ANDRE.DOTTIN@domain_with_space.KKHAIREMPORIUM.COM,6e2b372e98706e8e,1975/10/02,245-5407-700,"Sunset Blvd #115, San Fernando, TT2002, Trinidad & Tobago"
Keisha,Williams,KEISHA.WILLIAMSmail.kkhair.net,2203a9bce727f112,1996/05/16,+1 (869) 217373,"Hibiscus Lane #48, St. John Figtree, 6889, St. Kitts & Nevis"
Rashida,Clarke,RASHIDA.CLARKE@@loyalty.kkhair.com,8c3f71b2a36740ce,1968/06/10,(533) 9036385,"Palm Grove #245, St. Thomas Lowland, KN0302, St. Kitts & Nevis"
Dwayne,Holder,Dwayne.Holderkandk-hair.co,1463e81421c0fc79,1973/08/17,162-9870-2,"Harbour View #2, St. Andrew, 13, Jamaica"
Zoë,Jean-Baptiste,Zo.Jean-Baptiste.817@,38049a9448459704,1966/10/19,+1 (246) 24350979135,"Palm Grove #8, St. Michael, BB17001, Barbados"
Aaliyah,Núñez,AALIYAH.NEZ@domain_with_space.kandk-hair.co,56a4106927e78a84,1997/11/29,(195) 17190706,"Cedar Park #50, Port of Spain, TT6155, Trinidad & Tobago"
José,Hernández,Jos.Hernndez-135kkhairemporium.com,5b7a0675f309a6a2,1983/07/07,916-335,"Sugar Cane Way #104, Dennery, LC10 201, St. Lucia"
Rashida,Browne,Rashida.Browne@domain_with_space.LOYALTY.KKHAIR.COM,5b545a9ca8fc72d2,1986/10/01,+ 3724667  ,"Cedar Park #28, Christ Church, BB23026, Barbados"
José Baptiste,Greenidge,Jos.Greenidge@,cef910e1264bcc20,1955/04/16,022212,"Queen's Road #125, St. Ann, 15, Jamaica"
Rashida,Holder,RASHIDA.HOLDERloyalty.kkhair.com,09e7bfb879a7c9c3,1998/09/20,+ 6461533  ,"Bay Street #294, St. Paul Charlestown, 8284, St. Kitts & Nevis"
Marlon St.,Clair,Marlon.Clair-228@,45db861b6e69b36b,1993/12/19,+1 (868) 7405143,"Harbour View #31, Couva-Tabaquite-Talparo, TT2014, Trinidad & Tobago"
Jermaine,Forde,Jermaine.Fordeloyalty.kkhair.com,d2b0fdfc6339e8c3,1962/06/28,+1 (758) 758637,"Seaview Terrace #5, Castries, LC12 301, St. Lucia"
Latoya,Singh,Latoya.Singh@@kandk-hair.co,9dbaebc9b2584e78,1966/06/07,511-8778,"Coral Ridge #287, Chaguanas, 21953, Trinidad & Tobago"
Aaliyah,García,AALIYAH.GARCA@domain_with_space.kkhairemporium.com,6c25a839a4f8fb08,1980/05/23,+1 (869) 79406525,"Mango Tree Drive #218, St. Thomas Lowland, KN0503, St. Kitts & Nevis"
Tanesha,Brathwaite,Tanesha.Brathwaite@domain_with_space.KKHAIREMPORIUM.COM,9e15c3a9ccd40f5e,1976/02/16,4453975082903856,"Sugar Cane Way #268, Clarendon, 13337, Jamaica"
Kofi,Forde,Kofi.Forde-766@ LOYALTY.KKHAIR.COM,22f9c6d71b8c1f08,1964/05/30,+ 63147961  ,"Coral Ridge #99, Kingston, 31037, Jamaica"
Latoya O'Connor,Pérez,Latoya.Prez@@kandk-hair.co,9af80a1f9227446d,1983/01/02,033833673614,"Market Street #76, St. Ann, 14, Jamaica"
Sade ,Charles,Sade.Charles@@kandk-hair.co,7e57920494b1ac%^,1969/02/22,+ 768729  ,"Market Street #151, St. Thomas Lowland, 2085, St. Kitts & Nevis"
Anaïs,Clarke,Anas.Clarke.132@#.kandk-hair.co,d8d1cea0634ef1a6,2003/07/27,+1 (869) 9703977,"Queen's Road #39, St. Paul Charlestown, KN0302, St. Kitts & Nevis"
Rashida,Grant,RASHIDA.GRANT-904loyalty.kkhair.com,d260475fc62c9f6e,1996/08/11,+1 (868) 753409619975,"Harbour View #188, Arima, 63546, Trinidad & Tobago"
