original_index, Password 12582,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Signup Date 2018 ,Total Purchases  
90,s^J7%k,Charlestown,1691.0,Non-binary,2016/12,94.0
91,kst@0XE4vA,Kingston,17409.0,Non-binary,2017/01/03,1.0
92,hBpplq,Warrens,6575.0,Prefer not to say,2018-06-23,13.0
93,XItQYa,Oistins,1288.0,Prefer not to say,2017/05/03,8.0
94,ZpB%6&,Basseterre,13966.0,Non-binary,2016/12/10,70.0
95,kaawlK18qAsI,Kingston,22454.0,Prefer not to say,2018/07/17,94.0
96,PDoPDmE0,Warrens,4472.0,Female,2018/09,27.0
97,ta1ff8#e2^Y9m5@E,Sandy Point,22634.0,Non-binary,2016/04/22,116.0
98,ArQE*o9ACPTI#2Jg,Castries,6693.0,Female,2016/05/08,102.0
99,46MqNvHD9VKgsTK6,Spanish Town,9881.0,Female,2018/11/05,90.0
100,Ro9froNdZC5T,Gros Islet,14600.0,Female,2016/06/25,38.0
101,1w7rzxWL!f,San Fernando,18532.0,Prefer not to say,2017/07/12,81.0
102,OMIUm&Tsbr,Castries,23261.0,Non-binary,2016/09,54.0
103,iMbmpA,Oistins,23191.0,Prefer not to say,2017/04/11,97.0
104,K6N4C0L2yi8V,Vieux Fort,19068.0,Non-binary,2016/10/02,94.0
105,j%@7zL,Oistins,12749.0,Prefer not to say,2017-12-23,36.0
106,m2ST0ShFFENk,Gros Islet,16474.0,Non-binary,2017/03/14,6.0
107,,,,,,
108,chkOMi0UlYrE,Port of Spain,10370.0,Prefer not to say,2016/04/21,100.0
109,XbYGMlEMAu4O,Kingston,13128.0,Male,2016/09/30,87.0
110,Dl7zHvgZ2HtlVvpb,Basseterre,20240.0,Prefer not to say,2018/03/25,91.0
111,faG#WMYVqfwHv#@R,Chaguanas,20861.0,Prefer not to say,2016-11-30,55.0
112,pSlAKxv$,Oistins,21561.0,Female,2017/08/02,7.0
113,XZKtpM!3,Oistins,22486.0,Male,2017-09-07,66.0
114,TGk #co7wxY,Chaguanas,20209.0,Non-binary,2016/10/24,55.0
115,8c5FzLYgQbn3,Sandy Point,11267.0,Prefer not to say,2018/03,106.0
116,u!m1@MEA,Vieux Fort,1652.0,Prefer not to say,2018/11/02,111.0
117,RK#vkIV1UFt^,Oistins,1894.0,Non-binary,2018/07/02,113.0
118,e&QXq%,Sandy Point,11107.0,Male,2018/01/09,18.0
119,%YH@24!1us#q,Port of Spain,19320.0,Prefer not to say,2017/12/15,5.0
120,55tPl0XDYR*f,San Fernando,13166.0,Female,2016/07/22,36.0
121,hMXmOs,Kingston,18176.0,Male,2016-12-10,68.0
122,9IGWSB,San Fernando,140.0,Female,2018-02-09,45.0
123,JTylMC,Chaguanas,757.0,Non-binary,2018-11-25,113.0
124,C2jFzv,Kingston,12366.0,Non-binary,2018/04/21,76.0
125,6%Q ynn,Sandy Point,19769.0,Non-binary,2016/04/21,25.0
126,QM1Qun6f@CaCD7BE,Montego Bay,23554.0,Male,2016/10/08,100.0
127,3ipsqyy&WVO2Ffy&,Oistins,19135.0,Female,2018/02/11,119.0
128,R25730V@OIWdw4DH,Castries,9813.0,Non-binary,2018-08-17,59.0
129,VrqNb@,Vieux Fort,9982.0,Female,2016/05,49.0
130,Yuoq&19iXAqA,Vieux Fort,5738.0,Prefer not to say,2016/03/30,111.0
131,pVjn#P05vGA#f7dj,Kingston,19889.0,Female,2016/11/10,22.0
132,agWzFV,Kingston,7005.0,Female,2016/05/15,35.0
133,XrQwO9iQc5,Sandy Point,21089.0,Female,2017/03/31,48.0
134,AE#k27Nv,Sandy Point,2727.0,Non-binary,2018/09/11,17.0
135,VX!Nj0epXuy3,Chaguanas,12594.0,Prefer not to say,2018-04-22,118.0
136,av!ami1^1K,Bridgetown,9605.0,Female,2017-06-28,0.0
137,2RVROEUZWh,Charlestown,15877.0,Prefer not to say,2018/10/30,63.0
138,Bvln3duP,Oistins,3804.0,Non-binary,2018/03,40.0
139,,,,,,
140,bUnsW2vh,Vieux Fort,21403.0,Prefer not to say,2018/09/09,95.0
141,xZcY&^!i%&pApxxa,Bridgetown,18909.0,Prefer not to say,2017/03,77.0
142,kG2s&AjIyV$u,Basseterre,12407.0,Female,2018/03/08,103.0
143,IgVF16x4T7#KJ2%D,Charlestown,6231.0,Female,2018-01-21,65.0
144,LM9 LHB,Castries,17337.0,Male,2017/01/08,34.0
145,yKfrY1,Bridgetown,22226.0,Non-binary,2018/11/13,35.0
146,ytDpqZeJ,Warrens,1558.0,Male,2016/07/25,32.0
147,^VE JAXlnqp,Chaguanas,716.0,Male,2016/12/04,65.0
148,#^HMCLIpvCf&,San Fernando,512.0,Female,2017-04-19,55.0
149,KcNuwYyi,Vieux Fort,2784.0,Male,2016/04/24,34.0
150,D2XsTK,Sandy Point,3405.0,Non-binary,2018-09-06,14.0
151,QrFX1@&&@&&D,Basseterre,24477.0,Male,2016/05/31,76.0
152,^M80R4bK,Spanish Town,15349.0,Prefer not to say,2016/06/08,99.0
153,EIk f9f,Vieux Fort,15175.0,Female,2018/01/07,120.0
154,mbsNl@m6OvLu,San Fernando,8612.0,Female,2017/04/01,59.0
155,zZQ iOR!B8oJ6,Oistins,14792.0,Prefer not to say,2018/09/13,88.0
156,PObt6s@O,Spanish Town,16355.0,Prefer not to say,2016/12/28,20.0
157,lc0n@*,Basseterre,13584.0,Female,2018/05/30,50.0
158,%u3Dmq#pYH,Montego Bay,2718.0,Male,2018-10-09,116.0
159,5uxMbwepRS,Montego Bay,24418.0,Prefer not to say,2017/09/30,26.0
160,TVi5ve$G0L^TYdox,Port of Spain,3372.0,Non-binary,2017/07/16,15.0
161,e&^fRci8m1MJ,Chaguanas,12087.0,Female,2016/10/09,15.0
162,9!JP9ClH,Spanish Town,3462.0,Male,2017/07/23,87.0
163,d8^5THpkT3,Castries,7195.0,Female,2017/04,89.0
164,Kamx#9NEvO,Chaguanas,9524.0,Male,2018/09/23,58.0
165,s0C sT@,Warrens,14910.0,Non-binary,2016/11/29,36.0
166,gGrSK#,Oistins,14280.0,Non-binary,2018/06/13,67.0
167,d1lrMF,Chaguanas,1737.0,Male,2016/08/22,19.0
168,9xE*H4p3scxs,Charlestown,9920.0,Female,2018/10/27,115.0
169,Yi9W8x#^Hq,Basseterre,24573.0,Female,2017/02/04,56.0
170,AeraU0,Castries,7340.0,Non-binary,2016/08/15,119.0
171,E@jeSj,Gros Islet,12361.0,Male,2016/04/28,11.0
172,hjhq4xKf,Basseterre,11358.0,Prefer not to say,2016/10/17,30.0
173,JX@cWX,San Fernando,13888.0,Non-binary,2017-05-26,37.0
174,Hw47c4b7eT,Vieux Fort,10398.0,Female,2018/11/04,65.0
175,UQ0V8LduVf,Warrens,8820.0,Male,2016/06,83.0
176,rHKROpk01#s@,Chaguanas,7911.0,Non-binary,2016/04/02,117.0
177,$ktaV6WP4w$JmDM@,Castries,21837.0,Non-binary,2017/02/03,106.0
178,p43@Hl,Oistins,20554.0,Female,2017-01-18,36.0
179,Awe1HWES9^xMDL!!,Spanish Town,7695.0,Female,2018/04/22,56.0
180,v&AoQq*ccWlQTig%,San Fernando,24573.0,Female,2017-02-01,109.0
181,WL2lC0J9K&#F,Castries,13211.0,Prefer not to say,2018/04,34.0
182,kn2jWqbu%pvz4oe2,Kingston,17182.0,Prefer not to say,2016/01/12,24.0
183,SbyJK2NV,Kingston,15580.0,Female,2016/08/28,50.0
184,Js34!Gp3,Chaguanas,9009.0,Prefer not to say,2016/07/31,3.0
185,Om*Jyc,Basseterre,11188.0,Prefer not to say,2016-02-11,100.0
186,gWKwJrO0Cy,Bridgetown,11212.0,Non-binary,2016/08/24,80.0
187,bu18QRmxTN,Kingston,16783.0,Male,2017-09-25,18.0
188,3lFtVa9u,Gros Islet,11871.0,Non-binary,2016/07/09,83.0
189,7kSmZb,Kingston,227.0,Non-binary,2018/07/31,113.0
190,5PMeoT,Sandy Point,20864.0,Non-binary,2018/11/18,101.0
191,ZxKIa0Ac1qJI7OmC,Kingston,21649.0,Female,2016/12/07,72.0
192,mYBBoL,San Fernando,24999.0,Prefer not to say,2018/10,76.0
193,X$yu6V,Charlestown,2288.0,Female,2018/06/17,92.0
194,HovU0RsF,Oistins,9542.0,Non-binary,2017/04/11,27.0
195,t#O%VW!v^9,Charlestown,3238.0,Non-binary,2017/01/09,83.0
196,q%MhAD,Spanish Town,20805.0,Prefer not to say,2018/09/16,82.0
197,!aO$8@uw,Castries,5175.0,Male,2017/09/13,39.0
198,0Tr6Jc,Castries,9179.0,Prefer not to say,2017/08/05,17.0
199,*H^LcriOU5,Bridgetown,18537.0,Prefer not to say,2016-05-17,72.0
200,3J75tQ,Oistins,18902.0,Male,2016-03-21,69.0
201,Tdr4pWd4,Vieux Fort,11791.0,Prefer not to say,2016/07/23,39.0
202,PfsFwbq%tr,Bridgetown,10865.0,Female,2017/12,11.0
203,N88GqP,Chaguanas,8740.0,Male,2016/01/30,4.0
204,H*4pJ$RRxGR!6mR%,Kingston,6510.0,Non-binary,2016/11/21,21.0
205,LX%187PrMajG,Basseterre,14528.0,Male,2016/09/12,78.0
206,72v!LC,Chaguanas,15986.0,Prefer not to say,2018-05-13,91.0
207,dBxdQmL0d6GT,Oistins,2963.0,Prefer not to say,2018/06,96.0
208,llZHsR&T,Spanish Town,15835.0,Prefer not to say,2018-03-03,90.0
209,PF&qm#8&,Vieux Fort,903.0,Prefer not to say,2018/11,18.0
210,i^0uyF,Sandy Point,13153.0,Male,2016/05,7.0
211,@x&BSmtV,Vieux Fort,18168.0,Female,2018-09-10,116.0
212,Pr5zL2Z3Wk,Charlestown,14214.0,Male,2016/02/01,48.0
213,VZftsFH2,Spanish Town,10727.0,Male,2018/10/16,66.0
214,s4f#yAOfbtRG,Bridgetown,22438.0,Female,2016/01/13,72.0
215,XKX5E!GS69t6,Bridgetown,13297.0,Prefer not to say,2017/02/25,91.0
216,VNBYs8n*5M0g,Spanish Town,3180.0,Female,2017/12/31,19.0
217,utu1p&0u8JFos4mf,Montego Bay,23311.0,Female,2017/01/28,66.0
218,6kQeqbcMWz,Bridgetown,4211.0,Female,2016/06/03,1.0
219,phrzkx,Gros Islet,4715.0,Male,2017/08/07,32.0
220,h3k5blOUiH,Castries,4655.0,Prefer not to say,2017/01/11,2.0
221,33u!hTniP9Ls,Chaguanas,7649.0,Non-binary,2017/05/25,60.0
222,i5XyJsUh8F,Bridgetown,9702.0,Female,2016/11/17,97.0
223,pgP9Vs,Gros Islet,2659.0,Prefer not to say,2016-07-02,57.0
224,9ffCDtr#,Spanish Town,24387.0,Non-binary,2017/10,50.0
225,nAzMBMU7gDGB,Warrens,0.0,Non-binary,2018/05/05,38.0
226,8wbolE,Oistins,15701.0,Male,2018/01/22,60.0
227,7SLs@*0U3l,Charlestown,21778.0,Male,2018/04/15,13.0
228,EZMA*mydcd,Montego Bay,11517.0,Female,2018/10,48.0
229,8eP N5B0m,Warrens,15933.0,Male,2018/10/07,56.0
230,c^V*n18eJ32i,Bridgetown,9841.0,Male,2016/10/07,31.0
231,si9$jvF0UCH0h3fP,San Fernando,9202.0,Prefer not to say,2016/10/08,11.0
232,OPEySNyQ,Chaguanas,8871.0,Prefer not to say,2017/06,58.0
233,OprxpUgfiJn&,Basseterre,17750.0,Female,2018/04/12,58.0
234,5BDmk044tXWc,Basseterre,12433.0,Prefer not to say,2018/01/06,62.0
235,vC% ^zeWU,Chaguanas,15409.0,Prefer not to say,2017/01/01,99.0
236,##h Yrv,San Fernando,21212.0,Non-binary,2018/04/24,38.0
237,MYFscD4G,Gros Islet,2220.0,Non-binary,2016/02/20,80.0
238,p4!3$e#itWQ4Issz,Basseterre,7179.0,Prefer not to say,2017/06/12,70.0
239,Cc39IQ$M,Castries,14274.0,Prefer not to say,2017/04/26,78.0
240,tga8we,Kingston,15149.0,Non-binary,2017/11/24,88.0
241,PAE7ttekhp,San Fernando,15188.0,Prefer not to say,2016/10/14,77.0
242,n9#zBs,Port of Spain,7519.0,Non-binary,2016-06-04,35.0
243,B&KoEXQw*zb2,Basseterre,109.0,Male,2018/12/30,15.0
244,,,,,,
245,MrHWtJ,Vieux Fort,6956.0,Female,2017/08,84.0
246,rim an9,Vieux Fort,23915.0,Male,2018/04,52.0
247,yGqxpFqfDFfjYrBJ,Basseterre,21818.0,Male,2016-05-02,67.0
248,5zJ9XIu9,Vieux Fort,16286.0,Female,2017/01/18,39.0
249,FPfRT8E&,San Fernando,21070.0,Prefer not to say,2017/05/08,88.0
250,l#DJa2,Castries,23781.0,Male,2016/03/12,87.0
251,^Q5u&B52w4JOHBcz,Chaguanas,17614.0,Female,2017/02/24,101.0
252,JRdebddd,Montego Bay,16093.0,Female,2018/11/04,3.0
253,pE0tI$DPVgUNvWff,Oistins,24028.0,Non-binary,2018/03/30,37.0
254,V^3BnNGk,Spanish Town,18864.0,Female,2016/04,37.0
255,snlm6^7p,Kingston,6056.0,Male,2018/10/15,36.0
256,hjNjp^Kn,Charlestown,17567.0,Prefer not to say,2016/09/20,108.0
257,Xt6jPB,Bridgetown,11226.0,Non-binary,2018/02/05,15.0
258,LKxc5G,Bridgetown,7308.0,Non-binary,2016/03/03,22.0
259,,,,,,
260,hJkLjPg60w%z40sg,Port of Spain,5274.0,Female,2016/12/16,117.0
261,aWoC2E$O,Port of Spain,14802.0,Male,2016/11/26,112.0
262,4D2 D*Fo$w*O0,Chaguanas,11445.0,Non-binary,2016/05/29,98.0
263,E3*K*cuqeQ,Spanish Town,21519.0,Male,2018/08/02,68.0
264,z@e&O^aZxEVgIdUX,Port of Spain,22397.0,Non-binary,2017/12/04,73.0
265,nYV Ud!%HXPcP!KHC,Kingston,23885.0,Male,2017/10/11,79.0
266,X^p^8hq9aIUq,Gros Islet,10398.0,Non-binary,2016/02/22,108.0
267,POiAaP,Warrens,16885.0,Male,2017-01-24,16.0
268,%F1H!u,Kingston,20270.0,Female,2016/12/25,87.0
269,xwtB0vm2Pj,Spanish Town,23445.0,Female,2016/05/23,42.0
270,r%FqtdmrUY,Spanish Town,18803.0,Non-binary,2016/07/10,19.0
271,yhza18kA@losYgtt,Basseterre,20413.0,Male,2016/01/28,58.0
272,bPrtKWqcyU,Castries,886.0,Non-binary,2016/11/27,71.0
273,0DqqK^,Chaguanas,22186.0,Non-binary,2017/05/29,0.0
274,Jl!u2%f*b%mU,Warrens,6537.0,Prefer not to say,2018/12/17,57.0
275,Zu4G3Y3t,Chaguanas,21466.0,Non-binary,2016/12/18,78.0
276,Ciz74p1WLn0W,Sandy Point,21637.0,Male,2016/08/04,7.0
277,$#5sok4c&#L$dj*Z,Montego Bay,19519.0,Prefer not to say,2018/05/17,64.0
278,TDpHl2,Spanish Town,14067.0,Female,2016/07/28,20.0
279,I&Z&#Df3,Castries,6990.0,Prefer not to say,2016/02,46.0
280,d1Zi89i%qH,Vieux Fort,20268.0,Prefer not to say,2017-10-04,6.0
281,fSoj8k2hD&YA,Oistins,18243.0,Prefer not to say,2018/01/15,56.0
282,HZWqx1RLgn,Castries,3396.0,Female,2018/03,0.0
283,T4bI5r0Hv2jsovgA,Sandy Point,1544.0,Female,2016/11,57.0
284,AFLv!vdy&Wvj,Vieux Fort,2265.0,Prefer not to say,2018/01/06,54.0
285,bPEps&,Bridgetown,8775.0,Male,2016/07/30,14.0
286,,,,,,
287,QW4jQcf33X,Warrens,13752.0,Male,2018-07-29,67.0
288,V2xU6j,Spanish Town,10300.0,Female,2016/07/16,102.0
289,$j5gHUIqnS,Sandy Point,15401.0,Male,2017-06-20,30.0
290,loVaw7,Oistins,21418.0,Female,2017/03,52.0
291,s8zN&kBjeHQftTZC,Vieux Fort,16494.0,Male,2018-07-01,118.0
292,e*QPnf,Gros Islet,8783.0,Female,2016/04/13,14.0
293,e4Kf@m4yq7,Castries,2359.0,Non-binary,2017/11/28,46.0
294,hj*X49HfE9#IqByK,Port of Spain,15052.0,Non-binary,2016/07/14,94.0
295,olXY4Cra,Oistins,6112.0,Female,2017-12-06,28.0
296,p%!aUm3no#3B&VQk,Basseterre,23671.0,Prefer not to say,2017/04/13,19.0
297,i1Uzbq,Warrens,1541.0,Prefer not to say,2017/12/29,74.0
298,8MWfu^,Bridgetown,12555.0,Male,2017/06/05,4.0
299,Wv6yqvXr3plLsGB0,San Fernando,21846.0,Female,2018-01-19,67.0
300,@Q6ZIQzUE3,San Fernando,19527.0,Male,2017/05/05,111.0
301,H*zFu1,Castries,18251.0,Non-binary,2018/10/17,63.0
302,C475q3ZP,Montego Bay,21711.0,Male,2016-09-09,27.0
303,St%Ywdx!FS,San Fernando,13012.0,Female,2016-09-04,103.0
304,Cxl@3H&HZ9zP4Hqs,Kingston,2184.0,Female,2017-09-16,83.0
305,UXiOJ8fUOGjw,Basseterre,8310.0,Male,2017/02/17,96.0
306,9Dkxq4Xd6R^&,San Fernando,8922.0,Non-binary,2018/06/10,38.0
307,GQec0F,Sandy Point,3608.0,Male,2017/11/17,44.0
308,jNpYFFHJ5K,Vieux Fort,5679.0,Female,2016/01/21,35.0
309,nroA7QYT^Y,Basseterre,6242.0,Prefer not to say,2018/04/12,13.0
310,eOsJWg,Bridgetown,14694.0,Non-binary,2016/08/08,112.0
311,42s9SO,Bridgetown,14883.0,Male,2017/06/14,69.0
312,xHgXU*,Port of Spain,2770.0,Female,2018-05-01,95.0
313,tTnGTwOo,Basseterre,24249.0,Female,2017/11/08,59.0
314,GxY2AuO1DIx5,Bridgetown,1377.0,Male,2017/08/30,23.0
315,&ffI&Cui,Warrens,10135.0,Non-binary,2017/07,51.0
316,swjyxcNifKuG,Castries,11397.0,Male,2017/07/07,67.0
317,hh5Y&3u63FDwA#XA,Spanish Town,17713.0,Male,2018/09/14,12.0
318,jq740o6#,Warrens,10687.0,Male,2016-10-19,52.0
319,TKZJj$y#Mo07FK6%,Chaguanas,19720.0,Female,2017/03/29,112.0
320,nS1 Ebt5Vbg,Basseterre,13580.0,Female,2017/08/28,32.0
321,vMeWsqoPS3,Montego Bay,5594.0,Female,2017/05/25,84.0
322,2I&*FSPP,Montego Bay,14880.0,Non-binary,2017/08/28,101.0
323,eQD!$&dC,Port of Spain,4005.0,Prefer not to say,2017/12/30,61.0
324,iNCAYrGW3HRg,Spanish Town,12147.0,Prefer not to say,2018-11-27,107.0
325,y5k7bQ^MHQmIA2@u,Sandy Point,18910.0,Female,2018/02/04,106.0
326,qYcppEkb,Gros Islet,22844.0,Prefer not to say,2018/04/01,26.0
327,5FlQXWE!xT,Gros Islet,8352.0,Non-binary,2017/10/24,26.0
328,*ar!BbHs!1A2r$nH,Castries,23164.0,Male,2017-07-08,98.0
329,$CDBZK85bG,Warrens,15133.0,Male,2017/07/11,27.0
330,sJ*7d8tX,Kingston,22529.0,Prefer not to say,2016/12/13,119.0
331,*dbR78Odhm@F,Kingston,8319.0,Non-binary,2016-10-23,97.0
332,IkscIN58xWcAx1TO,Gros Islet,17710.0,Prefer not to say,2017/07/05,33.0
333,qk3MfgZ^zYqzPDJ*,Warrens,48.0,Male,2018/11/23,98.0
334,Er@z6&6f,Basseterre,21697.0,Non-binary,2017-10-25,35.0
335,34sgmhrIcr*l,San Fernando,570.0,Female,2016/08/25,120.0
336,wChH20dgkqF%,Warrens,21466.0,Male,2017/11/12,46.0
337,k!0&vuOmq6xY,Port of Spain,13526.0,Female,2018/02/13,14.0
338,cZJKlpm@,Kingston,2985.0,Male,2017/05/05,12.0
339,gkl JebAM8oEn@m71,Charlestown,17317.0,Prefer not to say,2018/11/14,78.0
340,&z!RDf,Chaguanas,21918.0,Prefer not to say,2016/08/30,108.0
341,ja9bBzUf%HuK,Vieux Fort,9528.0,Prefer not to say,2017/07,53.0
342,Por*j5@Qmr,Gros Islet,4631.0,Female,2018/01/10,33.0
343,cx4LjM#P6xXguwQH,San Fernando,13682.0,Male,2016-03-02,66.0
344,,,,,,
345,u*VoKIZDeV,Bridgetown,2634.0,Prefer not to say,2017/01/13,58.0
346,3Ea*CeYPHhuS,Montego Bay,21164.0,Non-binary,2018/06/09,0.0
347,vfvxjVMEeJH*eCwu,San Fernando,19034.0,Non-binary,2016/02/24,95.0
348,QYOrhpsF@Zzj,Basseterre,13878.0,Non-binary,2018-07-07,29.0
349,vniTDQTb,Oistins,8335.0,Non-binary,2017/02,112.0
350,,,,,,
351,fr0ZaHRgU3yx,Gros Islet,15920.0,Female,2018/03/11,90.0
352,oAz0obHK,Charlestown,9578.0,Male,2016-06-26,63.0
353,Ij@vCIS2Qz,Basseterre,16412.0,Non-binary,2016/03/07,28.0
354,#%HJB6gYWk*5,San Fernando,1343.0,Prefer not to say,2018/06/28,54.0
355,rxx108,Charlestown,20866.0,Non-binary,2018/06/25,50.0
356,w$k&u!pt1PAD7l6a,Kingston,20215.0,Non-binary,2016/06/03,68.0
357,^gnWGs$lQa,Warrens,17254.0,Non-binary,2016-08-18,113.0
