  Name  nsuef,Email Addresshbjjb , Password 12582,Salt %^bh ,Date of Birth   ,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
Tanesha García,Tanesha.Garca@@mail.kkhair.net,Usz$Z#fferQ8%6t$,a5c9af9f0ba3d90f,2006/11/24,Sugar Cane Way #27,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Charlestown,20611,Prefer not to say,309-1307,2016/11/06,26
Khadija Dottin,Khadija.Dottin@kandk-hair.co,,,,,,,,,,,,,
Shanice Charles,Shanice.Charles@mail.kkhair.net,PKhlD&ew1w,1cf591093a9ef4e8,1965/02/08 ,Sugar Cane Way #235,Clarendon,09,Jamaica,Spanish Town,11046,Non-binary,+ 32966851612  ,2018/09/04,31
Tanesha Alleyne,Tanesha.Alleyne@kkhairemporium.com,hp7NuZ#N,9b774f4ebdf672eb,2005-08-12,Cedar Park #281,St. George,BB17001,Barbados,Bridgetown,10751,Prefer not to say,+ 397187  ,2018/07/17,53
Devon Morris,Devon.Morris-837@kkhairemporium.com,2Si*hi,f19d54dbcecc24b3,2003/03/14,Independence Ave #115,Port of Spain,12979,Trinidad & Tobago,Chaguanas,23563,Prefer not to say,63375243106,2016/02/02,8
Kofi Morris,Kofi.Morris@ kkhairemporium.com,hr#LDOPE,47d9815df1bcadd4,1971/07/01,Mango Tree Drive #124,St. Peter,BB23026,Barbados,Oistins,4730,Prefer not to say,866-882,2017/06/06,82
 Sofía Greenidge  ,Sofa.Greenidge-387@@kkhairemporium.com,B9AQMbByp9FAYEPK,b98bfe3fa6bad1__,2006/12/16,Coconut Walk #79,Christ Church,BB17001,Barbados,Warrens,18670,Male,8547772522,2018/09/27,113
Chloë Morris,Chlo.Morris@kkhairemporium.com,itbB#6Vh,ff00d00890d53347,2002/3/25,Queen's Road #137,St. John Figtree,KN0503,St. Kitts & Nevis,Sandy Point,15040,Male,341016668700,2016/06/18,55
Devon Jean-Baptiste,Devon.Jean-Baptiste@mail.kkhair.net,*ewOcAsYjM,7cac42b13d72aca0,1995/06/03,Queen's Road #284,Soufrière,LC10 201,St. Lucia,Vieux Fort,19197,Prefer not to say,+1 (758) 943114,2016-11-11,40
Jamal Forde Brathwaite,JAMAL.BRATHWAITE-460@MAIL.KKHAIR.NET,lPXbL0XkF%vWvrIM,425d8d9f2b87f6e3,1955/08/10,Queen's Road #195,Vieux Fort,LC12 301,St. Lucia,Gros Islet,21333,Male,593-7526-5,2018/10,100
Sade Alleyne,Sade.Alleyne@kandk-hair.co,d7A4Li0@rMEGt2Wj,fcd1b237b51cad30,1974/12/01,Market Street #286,Manchester,38971,Jamaica,Montego Bay,12816,Prefer not to say,+ 9825071461125457  ,2018/12/03,60
Jermaine O'Connor,JERMAINE.OCONNOR@kkhairemporium.com,vF%wuQ,e7c55dc06edc0668,1960/08/12,Bamboo Crescent #275,Christ Church,BB23026,Barbados,Bridgetown,14993,Female,+1 (246) 78596969,2017-12-21,79
Anaïs De la Cruz,ANAS.CRUZ_321@KKHAIREMPORIUM.COM,s$X1rX2x!&,55f945ae1b0f46cf,1999/02/11,Cedar Park #228,St. James,06,Jamaica,Kingston,9571,Female,(384) 27978,2016/08/21,69
Rashida García,RASHIDA.GARCA@domain_with_space.mail.kkhair.net,Me5HSl4p,76bd54661b85a998,2001/02/24,Seaview Terrace #49,Gros Islet,LC04 101,St. Lucia,Gros Islet,21492,Male,(232) 536729466,2016/07/09,95
José Núñez,Jos.Nez@kkhairemporium.com,i&YB2B@IPK,4fa113e035ee0d64,1982/01,Bay Street #141,Castries,LC12 301,St. Lucia,Castries,12184,Male,+1 (758) 643611,2018/09/03,75
 Khadija De la Cruz  ,Khadija.Cruz-711@kandk-hair.co,nnOVMr,44205eb64de62343,1989/06/14 ,Harbour View #162,St. Ann,42477,Jamaica,Spanish Town,2760,Male,99940438983,2017/08/28,100
Latoya Alleyne,Latoya.Alleyne@kkhairemporium.com,X1U*w8jc,08611c9ddc248292,1973/03/25,Independence Ave #275,St. Catherine,13,Jamaica,Montego Bay,22894,Prefer not to say,+1 (876) 303161799042,2016-10-08,20
Kareem Joseph,Kareem.Joseph@LOYALTY.KKHAIR.COM,Q2I^iH,2feb1f5b58337010,1997/04/28 ,Bay Street #77,San Fernando,00000,Trinidad & Tobago,San Fernando,8135,Prefer not to say,+ 541951802380  ,2016/05,110
 Jéssica Jean-Baptiste  ,Jssica.Jean-Baptiste@@loyalty.kkhair.com,F7V @z*Fta0dD*SbQ,c9367df148217dbe,1962/08/14,Market Street #69,Dennery,LC04 101,St. Lucia,Vieux Fort,18606,Female,+1 (758) 2344565574,2017/02/19,98
Jamal Williams,Jamal.Williams-988@kandk-hair.co,luMfBP,7bc19850ce73e3ZZ,1966/09,Harbour View #191,St. George Basseterre,KN0101,St. Kitts & Nevis,Basseterre,2112,Male,(721) 510702966,2018/02/22,22
Rohan Núñez,Rohan.Nez.632@kandk-hair.co,9hlJXr1z^F*cWT9*,bac850a7081fb753,1976/8/20,Cedar Park #29,Gros Islet,LC12 301,St. Lucia,Castries,5770,Male,(559) 05992937,2016/12/25,11
Marlon  Singh,Marlon.Singh@kandk-hair.co,Phcsso^U,bc3a9a45dfa5b75c,1981-06-03,Sugar Cane Way #1,St. Philip,85082,Barbados,Oistins,1061,Male,+ 59391725135  ,2016/12/09,11
Jermaine Clarke,Jermaine.Clarke@KKHAIREMPORIUM.COM,1v0@WS*Wm9Cu,190a832a5c522af0,1969/10/20,Harbour View #81,Castries,LC12 301,St. Lucia,Castries,6225,Prefer not to say,+1 (758) 884443106987,2018/01/08,11
Anaïs De la Cruz,Anas.Cruz@loyalty.kkhair.com,NY8!Hl,c5bcb5e18ee87814,1963-09-04,Queen's Road #278,Soufrière,LC04 101,St. Lucia,Gros Islet,17123,Prefer not to say,+ 79374160898  ,2016/10/28,96
Aaliyah Browne,AALIYAH.BROWNE@mail.kkhair.net,HOilXYPJ,0d3d443339bd8c%^,1991-02-25,Coral Ridge #206,Port of Spain,TT6431,Trinidad & Tobago,Port of Spain,1615,Prefer not to say,+ 50544471  ,2017/04/11,95
Jéssica García,Jssica.Garca-217@mail.kkhair.net,h$uiN#Zr^d,6171e1b68bec307b,1995/01,Cedar Park #243,Arima,82264,Trinidad & Tobago,Port of Spain,8475,Female,06029333,2017/07/05,65
Noël Dottin,NOL.DOTTIN_616@kkhairemporium.com,J2WS6GB7M%,c30b993f2a8a8896,1976/07/23,Bamboo Crescent #207,St. Philip,BB17001,Barbados,Oistins,834,Prefer not to say,466-6099-3,2017/03/31,81
Sofía De la Cruz,Sofa.Cruz@,xQlCTCN1QV,9e3f12f63c9d1446,2006/01/31,Mango Tree Drive #74,Chaguanas,33639,Trinidad & Tobago,San Fernando,20677,Male,(007) 43292,2016/06/29,55
Tia  Best,Tia.Best-973@kkhairemporium.com,ycaFCSNqnX#NvifM,ead4afb65c077460,1970-02-28,Sugar Cane Way #20,Diego Martin,TT5190,Trinidad & Tobago,Chaguanas,1592,Female,+1 (868) 100167618472,2016/01/20,84
Renée Joseph,Rene.Joseph@kkhairemporium.com,on@zzH%zT0,1f6fa70023f42238,1995/12/23,Coconut Walk #136,St. Thomas,BB14000,Barbados,Bridgetown,1292,Non-binary,561-1002-2,2018/06,34
Kareem García,Kareem.Garca@mail.kkhair.net,voqhun194xWT,4ff3de128a07a3d7,1989-07-12,Cedar Park #286,St. George,BB14000,Barbados,Oistins,5142,Prefer not to say,(721) 7535408386631,2018/07/06,63
Sade  Johnson,Sade.Johnson@KKHAIREMPORIUM.COM,M$A6RU,7eafbe3370ab9b31,1999-03-06,Sugar Cane Way #210,Port of Spain,00000,Trinidad & Tobago,Port of Spain,12874,Male,+ 3516091779  ,2016/10,0
Zoë Morris,Zo.Morris@kandk-hair.co,nXP#X1FJ,a9e44d9a6669b45a,1986/08/08,Coral Ridge #293,St. John Figtree,KN0503,St. Kitts & Nevis,Sandy Point,418,Female,+ 620034  ,2016/11,87
Tyrone  García  Pérez,Tyrone.Prez@kkhairemporium.com,CXE$KgWX1OgbGz4C,b669e52553c1d884,1977-11-17,Mango Tree Drive #80,Castries,LC12 301,St. Lucia,Vieux Fort,1666,Non-binary,+ 9851583281  ,2016/11/22,68
Keisha Holder,Keisha.Holder@kandk-hair.co,boS5EFfPWoXG,90bef196a2350266,1993/01/21,Hibiscus Lane #276,Couva-Tabaquite-Talparo,TT2181,Trinidad & Tobago,Chaguanas,5038,Female,+ 5011024819  ,2017/06/13,57
 Kirsten Brathwaite St. Clair  ,Kirsten.Clair.600@KKHAIREMPORIUM.COM,nLMlK4WYd8u&CrY*,49b04310c296b6d4,1974/10/22,Coconut Walk #100,Port of Spain,TT1891,Trinidad & Tobago,San Fernando,21124,Female,+1 (868) 14139755,2017/04/25,79
Mikaël Thompson,Mikal.Thompson@,2vaOFC3JUr,afeeb9f352846822,2000/07/02,Cedar Park #298,St. George,BB17001,Barbados,Bridgetown,18074,Non-binary,(872) 56394278,2018/03/23,1
Noël Pérez,Nol.Prez_184@,fC!DiHVDfA,bcfe11a3885ccb28,1974/12/30,Queen's Road #177,St. James,16,Jamaica,Spanish Town,4553,Prefer not to say,+1 (876) 3184322,2016/08/30,53
Zoë Johnson,ZO.JOHNSON-23@kandk-hair.co,,,,,,,,,,,,,
José Joseph,Jos.Joseph@loyalty.kkhair.com,m2rG9DkK*0Gyaa%p,c6adb34d88db8c6d,2005/01/08,Queen's Road #287,St. George,BB23026,Barbados,Warrens,18928,Non-binary,+ 6213721386589026  ,2016-01-11,105
 Latoya Núñez  ,Latoya.Nez@#.kkhairemporium.com,%Khw@4bz%Kye,751b70528cbcc602,2004/4/22,Cedar Park #287,Manchester,55544,Jamaica,Kingston,19869,Male,(690) 4268181,2017/11,102
Tanesha Hernández,Tanesha.Hernndez@domain_with_space.mail.kkhair.net,,,,,,,,,,,,,
Tanesha Alleyne,Tanesha.Alleyne@MAIL.KKHAIR.NET,Yw6p%6ObbA,3ab85878fab5fd6d,1988/05/26 ,Harbour View #144,St. John Figtree,KN0302,St. Kitts & Nevis,Charlestown,22479,Male,(143) 8663227026728,2017-10-08,38
Rashida Jean-Baptiste,Rashida.Jean-Baptiste-488@kkhairemporium.com,UGSc0pSz&w,9bafe2c9e45adc22,1975/6/23,Seaview Terrace #150,Dennery,5382,St. Lucia,Gros Islet,14578,Non-binary,+1 (758) 987622023413,2016/07/29,119
Rashida Morris-Best,Rashida.Morris-Best@kkhairemporium.com,DFK4qq^vde,afe8e45ed9bf72e9,1978/04,Palm Grove #1,Arima,27865,Trinidad & Tobago,San Fernando,17534,Female,774-0649-30853,2018/06/14,20
 Anaïs Alleyne  ,Anas.Alleyne@loyalty.kkhair.com,0yixrLo65I,f6a041053984e072,1999/04,Harbour View #160,Diego Martin,TT8597,Trinidad & Tobago,Port of Spain,10821,Female,+1 (868) 2046187234601367,2016/03/09,94
Khadija De la Cruz,KHADIJA.CRUZ@loyalty.kkhair.com,%pG9MzUgBoE3PbvJ,c701f4b275f2a11b,2003/02/13,Independence Ave #250,Christ Church,BB23026,Barbados,Warrens,24025,Male,652407,2017/08/26,62
Devon Browne,DEVON.BROWNE@kandk-hair.co,,,,,,,,,,,,,
Kareem Charles,Kareem.Charles@kkhairemporium.com,jMjB%m,7c6675d3bed355ca,2002/11/24,Mango Tree Drive #181,St. James,BB23026,Barbados,Warrens,13511,Prefer not to say,(593) 9836845776004,2018/11/26,113
Shanice Grant,Shanice.Grant@loyalty.kkhair.com,tme6TtrHUFDGMlZB,af5f391c21abdd37,1956/01/10,Seaview Terrace #196,Castries,LC04 101,St. Lucia,Gros Islet,17692,Male,(832) 06799,2017/03/30,100
Tyrone Williams,TYRONE.WILLIAMS@loyalty.kkhair.com,r9z!Yz^F,8da23ddbb6ab095b,1994/09/03,Mango Tree Drive #23,San Fernando,00000,Trinidad & Tobago,Chaguanas,2811,Female,039-2405-14770,2017/03/09,66
Rashida Baptiste,Rashida.Baptiste@mail.kkhair.net,GvhKzI,02c8b309c7c3af25,1996/02/02,Sugar Cane Way #12,Castries,LC12 301,St. Lucia,Gros Islet,16054,Prefer not to say,+ 205554384046  ,2016/03,35
Tyrone Brathwaite,Tyrone.Brathwaite@kandk-hair.co,NQ5*qAr*zrN^,d45a235a40add9e8,1971-11-11,Independence Ave #14,St. Ann,90864,Jamaica,Spanish Town,18580,Male,+1 (876) 33051728975,2018/03/04,17
Rohan Campbell-Pérez,Rohan.Campbell-Prez@,!P6F2ZfWOY&^,13ee17c1c169ec99,1992/11/25,Bay Street #28,Clarendon,28643,Jamaica,Spanish Town,14801,Female,(812) 982665702,2017/02,11
Sade St. Clair,SADE.CLAIR@kkhairemporium.com,k^X$uWWfvQ,45451d99e95346%^,1999/09/26,Palm Grove #253,Gros Islet,4553,St. Lucia,Gros Islet,13439,Prefer not to say,990384,2017/03/01,18
Chloë Holder Hernández,CHLO.HERNNDEZ@kkhairemporium.com,uKw6UelM,c2d29f438ad66132,1980/10/06,Cedar Park #163,St. James,BB23026,Barbados,Bridgetown,20129,Prefer not to say,77293430107,2016-08-29,26
Kirsten  Best-Holder,Kirsten.Best-Holder@LOYALTY.KKHAIR.COM,#PaoQRYdwy,aff14f4eaed19a06,1984/10/04,Bay Street #182,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,11113,Prefer not to say,829-9629-14504,2018/10,47
Anaïs Grant,Anas.Grant@kandk-hair.co,9#tyR9,9a43461ec30912ae,1964/04/01,Seaview Terrace #160,Port of Spain,TT6114,Trinidad & Tobago,Port of Spain,10514,Male,+1 (868) 4485714,2017/07/14,79
Khadija Johnson,Khadija.Johnson.824@loyalty.kkhair.com,R*4gqd8gnX,dc5eb9a62e42e3e9,1996/10/02,Hibiscus Lane #74,St. Paul Charlestown,KN0503,St. Kitts & Nevis,Sandy Point,6008,Non-binary,(577) 0171577245992,2018-04-10,101
Sade Charles,SADE.CHARLES@mail.kkhair.net,,,,,,,,,,,,,
  José  Núñez    ,Jos.Nez@mail.kkhair.net,VgaToK,7dcacccd65f46cbd,1966-04-06,Sunset Blvd #9,San Fernando,00000,Trinidad & Tobago,Port of Spain,4496,Prefer not to say,+1 (868) 7969278687653269,2018-10-17,30
Tanesha  Best,TANESHA.BEST-722loyalty.kkhair.com,s^J7%k,27f291a0fefadb99,1982/04/12,Coral Ridge #134,St. George Basseterre,KN0302,St. Kitts & Nevis,Charlestown,1691,Non-binary,9047128144294440,2016/12,94
Renée Greenidge,Rene.Greenidge@kandk-hair.co,kst@0XE4vA,b18315ecf9f7ccf8,1994-01-01,Bay Street #230,St. James,11,Jamaica,Kingston,17409,Non-binary,6945441496739385,2017/01/03,1
Anaïs Forde-Williams,ANAS.FORDE-WILLIAMS@LOYALTY.KKHAIR.COM,hBpplq,53589e2e8da85281,1984/11/04,Coconut Walk #136,Christ Church,BB14000,Barbados,Warrens,6575,Prefer not to say,7128639,2018-06-23,13
Keisha Forde,Keisha.Forde@@KANDK-HAIR.CO,XItQYa,ffdc270cf3ba9c12,1985-07-05,Mango Tree Drive #149,St. Philip,BB17001,Barbados,Oistins,1288,Prefer not to say,+1 (246) 346157173203,2017/05/03,8
Chloë Grant,CHLO.GRANT@KKHAIREMPORIUM.COM,ZpB%6&,7214f0f17405193e,1960/09/26,Sunset Blvd #59,St. John Figtree,KN0101,St. Kitts & Nevis,Basseterre,13966,Non-binary,+ 6519825309251142  ,2016/12/10,70
 Jermaine Campbell  ,Jermaine.Campbell@MAIL.KKHAIR.NET,kaawlK18qAsI,d7515f29bd07633b,2003/06/03,Mango Tree Drive #107,St. Catherine,02,Jamaica,Kingston,22454,Prefer not to say,2200543645,2018/07/17,94
Sofía Charles,Sofa.Charles_739@mail.kkhair.net,PDoPDmE0,c72ff1d46e5cb4e6,1979/03,Independence Ave #17,St. Philip,BB14000,Barbados,Warrens,4472,Female,+ 7762534929298316  ,2018/09,27
 Latoya García  ,Latoya.Garca@kandk-hair.co,ta1ff8#e2^Y9m5@E,0d64b9720f95e0ee,1991/05,Cedar Park #190,St. John Figtree,KN0101,St. Kitts & Nevis,Sandy Point,22634,Non-binary,04649893195,2016/04/22,116
Mikaël Morris,Mikal.Morris@kandk-hair.co,ArQE*o9ACPTI#2Jg,bef3f9eb26e22c59,1961-11-26,Coconut Walk #58,Dennery,3424,St. Lucia,Castries,6693,Female,682-7567-0,2016/05/08,102
Anaïs Joseph,Anas.Josephloyalty.kkhair.com,46MqNvHD9VKgsTK6,595545731a4e8b56,1958/02/10,Queen's Road #76,St. Catherine,15,Jamaica,Spanish Town,9881,Female,+1 (876) 672752,2018/11/05,90
Latoya Hernández,Latoya.Hernndez@kandk-hair.co,Ro9froNdZC5T,1678602e2c6fa1bc,1993/05/13 ,Queen's Road #7,Vieux Fort,LC12 301,St. Lucia,Gros Islet,14600,Female,+1 (758) 7674266,2016/06/25,38
 Noël Joseph  ,NOL.JOSEPH@kkhairemporium.com,1w7rzxWL!f,99fe700489f39d5f,1976-12-15,Bamboo Crescent #142,Diego Martin,TT6927,Trinidad & Tobago,San Fernando,18532,Prefer not to say,+1 (868) 4715890429025725,2017/07/12,81
Andre Grant,Andre.Grant.188@kkhairemporium.com,OMIUm&Tsbr,bfda5364763de234,1998/01/07 ,Sugar Cane Way #186,Gros Islet,LC12 301,St. Lucia,Castries,23261,Non-binary,+1 (758) 132234,2016/09,54
Keisha  Clarke,Keisha.Clarke.526@kkhairemporium.com,iMbmpA,65b0248bb5723066,1970/05/30,Market Street #3,St. Philip,BB17001,Barbados,Oistins,23191,Prefer not to say,+1 (246) 92712566,2017/04/11,97
Jamal Greenidge,JAMAL.GREENIDGE@kkhairemporium.com,K6N4C0L2yi8V,f3ce234cc352b6a6,1991-04-09,Cedar Park #218,Dennery,LC12 301,St. Lucia,Vieux Fort,19068,Non-binary,6579678427114773,2016/10/02,94
 Anaïs Forde  ,ANAS.FORDE@loyalty.kkhair.com,j%@7zL,f8a01d3ceacee115,1982/03/10,Independence Ave #252,St. Thomas,BB23026,Barbados,Oistins,12749,Prefer not to say,+ 1978897782806479  ,2017-12-23,36
Andre Clarke,Andre.Clarke@kkhairemporium.com,m2ST0ShFFENk,293a50a1edd80f0a,1990/1/6,Sunset Blvd #251,Castries,LC12 301,St. Lucia,Gros Islet,16474,Non-binary,+ 9456371  ,2017/03/14,6
Devon Alleyne,Devon.Alleyne@kkhairemporium.com,,,,,,,,,,,,,
Kirsten van der Kringle,Kirsten.Kringle-675@KANDK-HAIR.CO,chkOMi0UlYrE,38f273aac7d64356,1994/06/05,Cedar Park #29,Diego Martin,TT7139,Trinidad & Tobago,Port of Spain,10370,Prefer not to say,+ 3425754090  ,2016/04/21,100
Tanesha Charles,Tanesha.Charles@kkhairemporium.com,XbYGMlEMAu4O,d182ffdad3582bda,1957/06/15,Seaview Terrace #95,Clarendon,15,Jamaica,Kingston,13128,Male,(459) 112382965,2016/09/30,87
Anaïs Brathwaite,ANAS.BRATHWAITE-968@KANDK-HAIR.CO,Dl7zHvgZ2HtlVvpb,def376689fc4d669,1971/12/28,Harbour View #75,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,20240,Prefer not to say,+ 5971072  ,2018/03/25,91
José Best,Jos.Best-954@,faG#WMYVqfwHv#@R,42ad483a14f8bd98,1978/08/30,Harbour View #85,Chaguanas,TT3478,Trinidad & Tobago,Chaguanas,20861,Prefer not to say,(320) 320,2016-11-30,55
Mikaël Núñez,Mikal.Nez@mail.kkhair.net,pSlAKxv$,605d27f3a093cb3a,1962/04/10,Sugar Cane Way #246,St. Thomas,BB23026,Barbados,Oistins,21561,Female,+ 09759230  ,2017/08/02,7
Rashida Singh,RASHIDA.SINGH@mail.kkhair.net,XZKtpM!3,94b3b6fecf8d2db5,1993-03-21,Market Street #175,St. Thomas,BB17001,Barbados,Oistins,22486,Male,+ 8814761742  ,2017-09-07,66
Dwayne Ramdeen-Forde,Dwayne.Ramdeen-Forde@mail.kkhair.net,TGk #co7wxY,d9aee8a565283d00,1956/03,Mango Tree Drive #236,Couva-Tabaquite-Talparo,63096,Trinidad & Tobago,Chaguanas,20209,Non-binary,(641) 220310303,2016/10/24,55
Rohan Forde,Rohan.Forde_925@kandk-hair.co,8c5FzLYgQbn3,f91fcff710da28df,1986/02/09,Harbour View #11,St. Peter Basseterre,KN0302,St. Kitts & Nevis,Sandy Point,11267,Prefer not to say,+ 8395972  ,2018/03,106
