Name,Email Address,Salt,Date of Birth
Chloë Grant,CHLO.GRANT@MAIL.KKHAIR.NET,9065a6fcaec5ff97,1964/08/15
Mikaël Johnson,MIKAL.JOHNSON@kandk-hair.co,880f2462cc01fded,1956/03/10
Aaliyah Holder,Aaliyah.Holder.655@loyalty.kkhair.com,4abee51a4a546c2d,1999/12/25
Chloë van der Kringle,Chlo.Kringle_915@kkhairemporium.com,65228e3dbc09acb6,1997/12/03
Latoya Dottin,Latoya.Dottin.851@kkhairemporium.com,40e25e8c183f5e__,1984/09/24
Jamal Browne,Jamal.Browne@mail.kkhair.net,8bfc74305256eb__,1971/08/23
 Zoë Greenidge  ,Zo.Greenidge@loyalty.kkhair.com,72521828e494d857,1969/12/13
Rashida Dottin,Rashida.Dottin_334@kandk-hair.co,447b8e7e537512%^,2002/06/13
Sade Browne,SADE.BROWNE_816@kkhairemporium.com,bb2159a3121065cf,1981/02/22
Jamal Singh,Jamal.Singh@mail.kkhair.net,d2b2f99d009a5243,1963/07/16
Dwayne Lewis,DWAYNE.LEWIS@#.MAIL.KKHAIR.NET,0630d3a6e443badc,1979/09/05
Rohan Best,Rohan.Best_485@kkhairemporium.com,407fc7438b8389ZZ,1976/08/22
Khadija Ramdeen,KHADIJA.RAMDEEN@kkhairemporium.com,1c9c5bb915c7ba59,1957/02/01
Rohan Núñez,Rohan.Nez.264@LOYALTY.KKHAIR.COM,6726f64ca71d122f,1984/05/17
Jamal O'Connor,Jamal.OConnor@mail.kkhair.net,77cfa04d6556427e,1985/04/18
Jamal  De  la  Cruz,Jamal.Cruz@loyalty.kkhair.com,5cdc9e294bc74a__,1982/10/10
  Jamal  Greenidge    ,Jamal.Greenidge@KANDK-HAIR.CO,fbc366e299815a14,1981/05/18
Tia Charles,Tia.Charles@KANDK-HAIR.CO,ae103585ab885cec,1986/09/02
Tia Ramdeen,TIA.RAMDEEN@loyalty.kkhair.com,9323ff516a7812b6,1962/11/30
Noël Williams,NOL.WILLIAMS@kkhairemporium.com,bc54add1adee8954,1985/04/24
Mikaël Morris García,Mikal.Garca@KKHAIREMPORIUM.COM,16d53999ccf4f7de,1994/07/27
Kofi Williams,Kofi.Williams@KKHAIREMPORIUM.COM,eb05fc2e55bfea8b,1978/10/31
Rohan Greenidge,Rohan.Greenidge@kandk-hair.co,7475ab76a98d3fef,1990/04/07
Aaliyah Dottin,Aaliyah.Dottin@kkhairemporium.com,53ede413233cc3__,1957/11/11
Jéssica Joseph,Jssica.Joseph-24@MAIL.KKHAIR.NET,bc206b4f037e3486,1987/03/18
Andre  Charles-Johnson,Andre.Charles-Johnson.812@MAIL.KKHAIR.NET,403a1e261de371e7,1959/04/16
José Best,JOS.BEST@#.loyalty.kkhair.com,274f0118cdd39a02,1959/07/16
Khadija Morris,Khadija.Morris@#.mail.kkhair.net,46f91ff8775ad569,1965/03/22
Renée De la Cruz,RENE.CRUZ@kkhairemporium.com,9453eb7ebe051081,1983/09/23
Jermaine O'Connor,Jermaine.OConnor@MAIL.KKHAIR.NET,d1f75f97acb3ec59,1992/10/29
Devon Dottin,Devon.Dottin@kkhairemporium.com,8cf4e2d02292637b,1969/08/24
Jéssica Grant,Jssica.Grant@kkhairemporium.com,10ce4382e8d37a5c,1978/10/11
Rashida Hernández-Greenidge,Rashida.Hernndez-Greenidge@kkhairemporium.com,ab710d5535495edf,1997/07/09
Shanice Johnson,SHANICE.JOHNSON@KANDK-HAIR.CO,7fa7dbc1eb5b8594,2005/01/05
Tyrone Lewis,TYRONE.LEWIS-182@kandk-hair.co,bf1ad4044bf0012c,1985/09/12
Tyrone Best-Ramdeen,Tyrone.Best-Ramdeen@kkhairemporium.com,32a5d21b7e14611e,1993/08/05
Keisha Morris-Joseph,Keisha.Morris-Joseph@mail.kkhair.net,b700cfec5aa065b0,1974/01/24
Devon Morris,Devon.Morris_6@mail.kkhair.net,aeaea525d95c177d,1971/01/28
Shanice Browne,SHANICE.BROWNE@kandk-hair.co,aef53c11a7f62c4f,2000/09/02
Kofi Charles,Kofi.Charles@kkhairemporium.com,08782cc54263df01,2004/12/26
Kirsten Alleyne,Kirsten.Alleyne_582@mail.kkhair.net,aa8431f3d4792c87,1985/05/25
Tia Clarke,Tia.Clarke@mail.kkhair.net,f8ccc2d68425a9b0,1955/09/17
Tyrone Campbell,TYRONE.CAMPBELL@mail.kkhair.net,9a961ed7e73003fb,1967/09/30
Jermaine Ramdeen,Jermaine.Ramdeen@kandk-hair.co,7f61c8d5ee23b4c7,1959/06/12
Kirsten De la Cruz,Kirsten.Cruz@loyalty.kkhair.com,8d805471ad4f6837,1955/09/19
Kirsten Jean-Baptiste,Kirsten.Jean-Baptiste@KKHAIREMPORIUM.COM,af0d2628b968acc7,1974/12/28
Kirsten Alleyne St. Clair,KIRSTEN.CLAIR@kkhairemporium.com,254352b93b4ddfc9,1964/04/30
Rashida St. Clair-Holder,Rashida.Clair-Holder@kandk-hair.co,fd2a3c5ce37d9302,2000/05/19
Kofi Singh,Kofi.Singh@domain_with_space.mail.kkhair.net,4ad55530a769e08f,1989/11/18
Keisha Núñez,Keisha.Nez@kandk-hair.co,5595b4a3c3afb2ZZ,2002/06/20
Jamal Holder,Jamal.Holder@loyalty.kkhair.com,6d22675d1f52b5ff,1980/08/03
Dwayne Lewis,Dwayne.Lewis@mail.kkhair.net,0131af707a532d99,1981/06/13
Andre Browne,Andre.Browne@kkhairemporium.com,c325606ad327f28a,1957/01/12
 Zoë Joseph  ,Zo.Joseph@kkhairemporium.com,4f94ab37d11a3319,1967/03/03
Marlon Pérez,MARLON.PREZ@mail.kkhair.net,33c97c147ff5e05d,1988/12/06
Rashida Jean-Baptiste,Rashida.Jean-Baptiste@LOYALTY.KKHAIR.COM,8e37a60d1dfc8055,1979/12/17
Rohan Grant,ROHAN.GRANT@mail.kkhair.net,003b6d054c4b85ZZ,1975/11/15
Tanesha Holder,TANESHA.HOLDER.495@loyalty.kkhair.com,d655b2f94590865d,2002/11/14
Jéssica Morris-Holder,JSSICA.MORRIS-HOLDER@kandk-hair.co,00e6e261e55236c1,1997/05/26
Dwayne Jean-Baptiste,DWAYNE.JEAN-BAPTISTE.407@kkhairemporium.com,4fd2e9048bbb3c14,2006/08/01
Khadija O'Connor,Khadija.OConnor.113@kkhairemporium.com,d8e1537da8d54052,1972/11/17
Keisha  Johnson,Keisha.Johnson@kkhairemporium.com,a92df8c7110877d3,1976/12/01
Kirsten Clarke,Kirsten.Clarke@loyalty.kkhair.com,447e904c41b2f8a4,1987/03/01
Zoë O'Connor,Zo.OConnor@kandk-hair.co,0cdcbc4482ede89f,1962/03/23
Keisha Brathwaite,KEISHA.BRATHWAITE@loyalty.kkhair.com,24e70d797a9528d0,1991/05/08
Tia Morris,Tia.Morris@kkhairemporium.com,3c4b1839eab0326e,1985/04/18
Anaïs Williams,Anas.Williams@mail.kkhair.net,d30590bbe1058964,1990/06/17
José O'Connor,Jos.OConnor_859@mail.kkhair.net,37499270093d20ZZ,1988/01/16
Jéssica Williams,Jssica.Williams@kkhairemporium.com,bf3ab84c1e57c049,1994/01/14
Rashida van der Kringle,Rashida.Kringle@mail.kkhair.net,cc4e591edd840ec6,1961/01/24
Anaïs Greenidge,ANAS.GREENIDGE@mail.kkhair.net,3d065505d0385c8f,1960/06/07
Tanesha Núñez,TANESHA.NEZ@mail.kkhair.net,a3774e5f5253c7b1,2005/07/12
Chloë Campbell,CHLO.CAMPBELL@kkhairemporium.com,9b8520c5826ea345,1961/10/26
José Holder Singh,Jos.Singh@mail.kkhair.net,d9463cb8936e5efc,1997/10/04
Khadija Campbell,Khadija.Campbell@kkhairemporium.com,820eda6a1cf6d695,2000/03/10
Kirsten Baptiste,Kirsten.Baptiste@loyalty.kkhair.com,e13f14d91e16012e,1968/06/23
Noël Johnson,Nol.Johnson_544@kandk-hair.co,6ac58af02509495b,1956/08/31
Andre Holder,Andre.Holder@kkhairemporium.com,ef7b8cd4647d1cce,2002/06/15
Latoya De la Cruz,Latoya.Cruz-508@KANDK-HAIR.CO,66e1695998e908__,2002/12/15
 Rashida Pérez  ,Rashida.Prez@kkhairemporium.com,0709a9380745206c,1969/05/20
Tanesha Holder,Tanesha.Holder@kkhairemporium.com,8dfcd4d57ac0b704,1961/08/11
Mikaël van der Kringle,MIKAL.KRINGLE.602@kkhairemporium.com,08a56ebeb735c1%^,1986/04/18
José St. Clair,Jos.Clair.882@MAIL.KKHAIR.NET,4147503802d67589,1981/08/21
Shanice Clarke,SHANICE.CLARKE@kandk-hair.co,1cc9f0e06b17c1aa,2000/03/01
Sofía Clarke,Sofa.Clarke@kandk-hair.co,28d1aa0964dd9644,1978/01/29
D’Andre Campbell,DAndre.Campbell@kandk-hair.co,eef9debb392d8560,1966/08/02
 Dwayne Núñez  ,DWAYNE.NEZ_394@mail.kkhair.net,94cba9d0d474e47f,2000/02/02
Latoya Brathwaite,Latoya.Brathwaite@kkhairemporium.com,68ed6040fc247c35,1957/07/01
Rashida Singh,Rashida.Singh@mail.kkhair.net,6abe0fe73563aaa1,1983/07/22
Jéssica Williams,Jssica.Williams@kandk-hair.co,ee14798bd98df907,1992/12/21
Tia Ramdeen,TIA.RAMDEEN@kkhairemporium.com,4c97604db0c536dc,1966/01/17
Sade Clarke,Sade.Clarke.214@loyalty.kkhair.com,728b8c2bf964b238,1996/02/02
José Joseph,Jos.Joseph@MAIL.KKHAIR.NET,530f2e31cad94ae1,2004/02/27
Chloë  St.  Clair,CHLO.CLAIR@kandk-hair.co,a28a403cd76444%^,1975/10/28
Tanesha  Núñez,Tanesha.Nez@KKHAIREMPORIUM.COM,21794368a98416a6,1960/07/04
Sade Browne,Sade.Browne_649@loyalty.kkhair.com,9710b3adebc6bb94,1971/07/12
Marlon Holder,Marlon.Holder@kkhairemporium.com,bf1e704020939a79,1984/11/13
Rashida Ramdeen,Rashida.Ramdeen@mail.kkhair.net,90850dd19b4d0c21,1992/09/17
Khadija Lewis,Khadija.Lewis.870@mail.kkhair.net,182e493aa7c3aaae,1957/08/01
Noël Forde,NOL.FORDE@domain_with_space.KANDK-HAIR.CO,544092de53b75cc6,1955/06/12
Kofi Campbell,Kofi.Campbell.23@kandk-hair.co,90e4709b6472cee2,1988/10/22
Keisha García,Keisha.Garca@kkhairemporium.com,fd6a7446f3b424c9,1987/12/25
Dwayne St. Clair,DWAYNE.CLAIR@loyalty.kkhair.com,4edf57a0e6884243,1988/04/22
 Chloë Singh  ,Chlo.Singh@kandk-hair.co,6d74d60324401984,1977/09/16
Sofía Alleyne,SOFA.ALLEYNE@KKHAIREMPORIUM.COM,fef3d3f3cbdbcced,1988/11/17
Keisha Dottin,Keisha.Dottin@loyalty.kkhair.com,312c4d0014cb68ea,2004/11/28
Noël Grant,Nol.Grant@kkhairemporium.com,85f4901140c129c0,1957/02/28
Devon Campbell-Baptiste,DEVON.CAMPBELL-BAPTISTE@kkhairemporium.com,87edd27dc50244d2,2006/04/28
Tyrone De la Cruz,Tyrone.Cruz@loyalty.kkhair.com,c46d7db02c5ec555,1994/01/09
Jamal Williams,Jamal.Williams-998@#.MAIL.KKHAIR.NET,3caf624bcb2e23__,1987/05/24
Chloë Joseph,CHLO.JOSEPH_412@loyalty.kkhair.com,f60485cd48eb7f90,1984/04/21
Tanesha Alleyne,Tanesha.Alleyne@mail.kkhair.net,f6dc9a740efbf097,1991/08/26
Andre Greenidge,Andre.Greenidge@kandk-hair.co,b3b1409a05396a72,1996/08/17
Anaïs Lewis,ANAS.LEWIS@LOYALTY.KKHAIR.COM,d127a32f9bba7e1d,1971/09/24
Kofi Núñez Ramdeen,Kofi.Ramdeen_946@loyalty.kkhair.com,68719b29414b7c__,1967/12/27
Marlon Best,Marlon.Best_703@kandk-hair.co,653d421f74537c2a,1996/04/24
Shanice Williams,Shanice.Williams@MAIL.KKHAIR.NET,1718068deb9247ZZ,2004/04/17
Marlon Johnson,Marlon.Johnson@MAIL.KKHAIR.NET,70087f7c72b5435f,1989/05/22
Jamal Dottin,Jamal.Dottin@mail.kkhair.net,a811917f5b9ba7ad,1976/01/12
Anaïs Baptiste,Anas.Baptiste.187@KANDK-HAIR.CO,fca1d9be48153ef6,1963/05/04
 Dwayne García  ,Dwayne.Garca_395@#.kkhairemporium.com,5157fccdd55b77c2,1963/05/02
D’Andre Grant,DAndre.Grant@KANDK-HAIR.CO,86a0b5b8f07dd9a6,1963/08/16
Zoë O'Connor,Zo.OConnor@mail.kkhair.net,8e3acfbdda0a2d03,1981/03/30
Rohan Lewis,Rohan.Lewis@mail.kkhair.net,2f1e73e98beed5d4,1990/03/16
Jéssica Pérez,Jssica.Prez@kkhairemporium.com,66111181dbcb4798,2002/02/17
Andre  Holder  Núñez,Andre.Nez@mail.kkhair.net,57f7b2dd9ff93626,1961/11/06
José Hernández,Jos.Hernndez@mail.kkhair.net,379211628c684595,1988/03/11
Kareem Thompson,Kareem.Thompson_828@loyalty.kkhair.com,534d8a41d9230d3c,1989/02/20
Sofía van der Kringle,Sofa.Kringle@MAIL.KKHAIR.NET,bf44e165401e8af4,1972/03/02
Noël Grant,NOL.GRANT@loyalty.kkhair.com,abd47fecbd726c1d,1967/05/21
Tyrone Joseph,Tyrone.Joseph@kandk-hair.co,8066902a7e7bccf3,1984/04/10
José Charles,Jos.Charles@LOYALTY.KKHAIR.COM,a474bbb0bf9fb3__,1978/07/20
Dwayne Johnson,Dwayne.Johnson@kandk-hair.co,13e1ce81fd5aa3c4,1987/10/05
Rohan Núñez,Rohan.Nez@mail.kkhair.net,df2d53f419c193__,1969/07/09
Tyrone Brathwaite,TYRONE.BRATHWAITE@KKHAIREMPORIUM.COM,a727c4a5c0453d0e,1979/10/17
Shanice Campbell,SHANICE.CAMPBELL_20@LOYALTY.KKHAIR.COM,f4218cd4ea03b5ce,1970/04/29
Kirsten Morris,KIRSTEN.MORRIS@kandk-hair.co,b13dff404b24134b,1975/05/09
Mikaël Pérez,Mikal.Prez@kkhairemporium.com,7259fe7def589696,1985/09/26
Khadija O'Connor,Khadija.OConnor@kandk-hair.co,59e7ca0164011d9e,1982/12/20
Rohan Grant,Rohan.Grant-875@kandk-hair.co,3770f78a76157d93,1968/09/07
Jamal García St. Clair,Jamal.Clair@kkhairemporium.com,5bb24a71f227b0b7,1982/10/26
Tia Dottin,Tia.Dottin_13@mail.kkhair.net,90e7071ceb38b96d,1962/02/15
Anaïs Alleyne,ANAS.ALLEYNE_939@mail.kkhair.net,67fff7063cff35d3,2004/02/13
Renée Ramdeen,Rene.Ramdeen@mail.kkhair.net,97a5970f83eda8dc,1999/07/19
