  Name  nsuef,Email Addresshbjjb ,Salt %^bh ,Date of Birth   
Kareem Morris Campbell,Kareem.Campbell@KANDK-HAIR.CO,7070397d7214bf96,1973/05/03
 Sade Browne  ,Sade.Browne_54@#.KANDK-HAIR.CO,7d5799e68f2bcc5f,2000/05/01
 Rohan Williams  ,Rohan.Williams@loyalty.kkhair.com,bfb1cd77f1b048e4,2006/11/20
Jamal van der Kringle,Jamal.Kringle@kandk-hair.co,55b546f53e656156,1991/09/04
D’Andre  Morris,DAndre.Morris@#.loyalty.kkhair.com,a30ec40387befd60,1983-11-27
Dwayne García,Dwayne.Garca-978@kkhairemporium.com,878f34f2a72accd7,1965/5/18
D’Andre De la Cruz,DAndre.Cruz@kkhairemporium.com,,
Jermaine van der Kringle,JERMAINE.KRINGLE@kandk-hair.co,f513ad4c7137cf95,1988/09/04
D’Andre Ramdeen,DANDRE.RAMDEEN@KANDK-HAIR.CO,a31465281239b5d0,1959/02/21
Rohan Ramdeen,Rohan.Ramdeen-267@mail.kkhair.net,4adc072833d2a2ba,1968/02/16
Rashida Singh,Rashida.Singh@KANDK-HAIR.CO,29da222725129f0d,1967/03/29
Andre Best,Andre.Best@kandk-hair.co,c691ef1b0ea9b30b,1971/09/14
Jermaine De la Cruz,Jermaine.Cruz@loyalty.kkhair.com,156f83dff4acc433,1966/04
Noël Lewis,Nol.Lewis.802@kkhairemporium.com,4d0621cd977adf1d,1982-04-19
  Kareem  Brathwaite    ,Kareem.Brathwaite@kandk-hair.co,66e32a9f64146d8b,1995/03/27
Rashida Dottin,Rashida.Dottin.224@kkhairemporium.com,1484817630bba284,1981/6/16
Tyrone Hernández,TYRONE.HERNNDEZ@ kandk-hair.co,d7ec3403cc030147,1979-01-05
Jamal Clarke,JAMAL.CLARKE@mail.kkhair.net,c3f53739b2a3b214,2002/08/04 
 Kirsten O'Connor  ,Kirsten.OConnor-362@loyalty.kkhair.com,d727b060bf431bb4,1967/12/07
 Shanice Williams  ,SHANICE.WILLIAMS@mail.kkhair.net,11550cde897d582c,1966/03/24
Shanice Campbell,SHANICE.CAMPBELL@loyalty.kkhair.com,290b9c6acb43ad%^,1997/10/15
Andre Hernández,Andre.Hernndez@kkhairemporium.com,bb225e8f8e43f1b9,1966/07/28
Kareem Greenidge,Kareem.Greenidge_750@kkhairemporium.com,4f46a1c1bdf6160d,1970-10-19
José Best,Jos.Best.204@kkhairemporium.com,d80e4e3166d5c6b6,2006/10/01
Kirsten Alleyne,Kirsten.Alleyne@kkhairemporium.com,e19d67ec36f3be%^,1975/02/02
 Kofi van der Kringle  ,Kofi.Kringle@mail.kkhair.net,5a6220d0402c04eb,1974/11/23
 Tia Johnson  ,TIA.JOHNSON@kkhairemporium.com,058360046b360a47,1966/5/10
Kirsten Hernández,Kirsten.Hernndez@kkhairemporium.com,d5b726bb4a30a0a6,1983/11/06
Aaliyah Singh,Aaliyah.Singh@kkhairemporium.com,bc2af1c9ef3b3071,1967-06-13
Sade Jean-Baptiste,Sade.Jean-Baptiste@mail.kkhair.net,2b7622f1606ec6f3,2002/05/03
Noël Ramdeen,NOL.RAMDEEN@kandk-hair.co,cda1e8b31cd696c5,2002/07/05
Tia Alleyne,TIA.ALLEYNE@kandk-hair.co,55ae40fda058250b,1955/02/02
Anaïs Holder,ANAS.HOLDER@mail.kkhair.net,db626c38e58bacd8,1958/09/08
D’Andre Grant Morris,DAndre.Morris@#.kkhairemporium.com,42846d2971fb7cdc,1963/10/21
José Brathwaite,Jos.Brathwaite@mail.kkhair.net,b491c4c0ee12183a,1981/01/25
Mikaël Johnson,MIKAL.JOHNSON.455@MAIL.KKHAIR.NET,756ff993fb8cc3ed,1968-04-17
Tia Joseph De la Cruz,Tia.Cruz@kandk-hair.co,bc2105733ffa7735,1989/06/16
Marlon Thompson,Marlon.Thompson@kkhairemporium.com,2a5f66fbb42edc22,2001/5/28
Chloë Clarke Greenidge,Chlo.Greenidge.837@loyalty.kkhair.com,2f48131f7bdf97ZZ,2002/12/04
Shanice Campbell,Shanice.Campbell@KKHAIREMPORIUM.COM,794cf32286fb7e9b,1981/04/04
Chloë Dottin,Chlo.Dottin-603@mail.kkhair.net,76c5d191b0a860ad,1960/02/15
Devon Alleyne Lewis,DEVON.LEWIS@kkhairemporium.com,6d128a2e5888f475,1959/06
Marlon Thompson,Marlon.Thompson@MAIL.KKHAIR.NET,4036ab6c14c227d3,2002/05/07
Kofi Campbell,Kofi.Campbell@kandk-hair.co,65e053d8f341d052,2002/06/27
Jermaine Núñez,Jermaine.Nez@mail.kkhair.net,d9aca5416d8a3b95,1979/07/27
Kareem Thompson,Kareem.Thompson@kandk-hair.co,83b272a5a8e2a1d3,2001/10/7
Rohan van der Kringle,Rohan.Kringle@kkhairemporium.com,cbf93739dea7d35e,1965/03/09 
Tia Lewis,Tia.Lewis@kkhairemporium.com,65c795bad670103c,1958/10
D’Andre Brathwaite,DAndre.Brathwaite@kkhairemporium.com,fcb3e70c7ebf39a4,1962-07-03
Jéssica Charles,Jssica.Charles@loyalty.kkhair.com,f4dc093d98ab5496,1988/04/22
José Johnson,JOS.JOHNSON@kandk-hair.co,c86243685834ca8f,1955/03/29
Jéssica Alleyne,Jssica.Alleyne@kkhairemporium.com,50bebd66cb506e%^,1984-06-19
Mikaël St. Clair,MIKAL.CLAIR-855@kkhairemporium.com,a5b0cd1264825e18,2000/05/07
 Rohan van der Kringle  ,Rohan.Kringle@kandk-hair.co,6598e82fbbbe51c4,1973/11/24
Latoya Williams,Latoya.Williams@KKHAIREMPORIUM.COM,50eedcf78bafc917,2000-06-25
 Jermaine Alleyne  ,Jermaine.Alleyne@loyalty.kkhair.com,fc6fce73c4a4ca9d,2002-12-01
Kirsten Williams,Kirsten.Williams-184kandk-hair.co,4ce0fcd19d83ebfa,1987-09-25
Renée Holder,RENE.HOLDER@loyalty.kkhair.com,c752344fd8be7e12,1958-06-08
José Pérez Ramdeen,Jos.Ramdeen@kandk-hair.co,a729edacf0aaabe4,1999/10
Kirsten Dottin-Grant,Kirsten.Dottin-Grant@kandk-hair.co,5cdb6d8ab3ac7cfe,1995/04
Zoë Best,Zo.Best@mail.kkhair.net,75f6a49206ee7e75,1999/11/17
Dwayne Pérez,Dwayne.Prez@MAIL.KKHAIR.NET,683a2ef78a9eae88,1967-07-25
Dwayne Williams,Dwayne.Williams@mail.kkhair.net,c02a79674836bfe0,2002/01/08
Marlon St. Clair,MARLON.CLAIR@loyalty.kkhair.com,fe31a26f3e2f636f,1955/11/11
Tanesha Jean-Baptiste,TANESHA.JEAN-BAPTISTE@mail.kkhair.net,d93ea5637699af39,1973/11/12
Zoë Holder,ZO.HOLDER@mail.kkhair.net,6689b0adca66e832,1984/03/14
Sade Dottin,Sade.Dottin@kandk-hair.co,65ae7eba688043dd,1998/08/19
Rashida Dottin,Rashida.Dottin@mail.kkhair.net,aed0c90c007ad487,1984/04/20
Keisha Brathwaite,Keisha.Brathwaite@kandk-hair.co,6c1eec66c3253563,1987/02/25
Kirsten Jean-Baptiste,Kirsten.Jean-Baptiste@MAIL.KKHAIR.NET,1169bd5d5545b350,1982/06/17
Keisha Johnson,KEISHA.JOHNSON@mail.kkhair.net,b3ff64744723c937,1971/07/25
Aaliyah Alleyne,Aaliyah.Alleyne@@mail.kkhair.net,bd0437e3394b9ed2,2000/04
Marlon García,Marlon.Garca@mail.kkhair.net,9621d44f57c5dc67,1961/04
Tyrone Forde,Tyrone.Forde@kkhairemporium.com,2b7fdd13888ad8__,1998/07
Kareem van der Kringle,Kareem.Kringle@mail.kkhair.net,bb78e1ae856acb5f,1984/12/10 
Aaliyah Brathwaite-Thompson,Aaliyah.Brathwaite-Thompson@kandk-hair.co,c392a7e17480f777,1994/07/04
D’Andre Pérez,DAndre.Prez@LOYALTY.KKHAIR.COM,7b7e81eefd250e1b,1968-04-07
 Renée Ramdeen  ,Rene.Ramdeen@ loyalty.kkhair.com,550f3a23ccdcf4a5,1986/11
Jamal Browne Charles,Jamal.Charles@#.loyalty.kkhair.com,e54e013993b553f6,1985/04/08
Jamal Jean-Baptiste,Jamal.Jean-Baptiste@mail.kkhair.net,f3afc9f9116295a1,1959/03/27
Mikaël St. Clair,Mikal.Clair@loyalty.kkhair.com,968d0ddc86f80c1e,1975-01-02
Latoya Baptiste,LATOYA.BAPTISTE.826@kkhairemporium.com,be61cc492756aeZZ,2002/6/2
Anaïs Alleyne,ANAS.ALLEYNE@kkhairemporium.com,b7495c85b0d941ed,2003/07/31
Devon Thompson,Devon.Thompson@mail.kkhair.net,a5cd5e06c584c64d,1977/01/16
Dwayne García-Singh,Dwayne.Garca-Singh@KANDK-HAIR.CO,cfcf50be5e0fbaZZ,1981/12/03
 Latoya Brathwaite  ,Latoya.Brathwaite@mail.kkhair.net,cc18cabdda4b86f9,1995/05/12
Noël Núñez,Nol.Nez@mail.kkhair.net,20d7612ca6f6f5f9,1960/06/30
Zoë Campbell,ZO.CAMPBELL@@KANDK-HAIR.CO,aebfbf9fa6751bde,1984/02/06
Latoya Williams,LATOYA.WILLIAMS.285@kandk-hair.co,f6df095a9d349ab4,1997-06-25
Sade Joseph,Sade.Joseph@mail.kkhair.net,0abf48afa6639169,1988/09/25
Jamal Núñez,Jamal.Nez@kandk-hair.co,c0dac5a19a114f22,1964/03/04
Jamal Dottin,JAMAL.DOTTIN@kkhairemporium.com,cc09f0d216167f0b,1988/01/10
Chloë Grant,CHLO.GRANT@MAIL.KKHAIR.NET,9065a6fcaec5ff97,1964/08/15
Mikaël Johnson,MIKAL.JOHNSON@kandk-hair.co,880f2462cc01fded,1956/03/10
Aaliyah Holder,Aaliyah.Holder.655@loyalty.kkhair.com,4abee51a4a546c2d,1999/12/25
Chloë van der Kringle,Chlo.Kringle_915@kkhairemporium.com,65228e3dbc09acb6,1997/12/03
Latoya Dottin,Latoya.Dottin.851@kkhairemporium.com,40e25e8c183f5e__,1984/09/24
Jamal Browne,Jamal.Browne@mail.kkhair.net,8bfc74305256eb__,1971/08/23
D’Andre Thompson,DANDRE.THOMPSON-567@KKHAIREMPORIUM.COM,06bce74fd579f2d0,2005-05-23
Sade Charles,Sade.Charles@loyalty.kkhair.com,d88d6496ba6e5397,1985/04
Devon García,Devon.Garca-644@mail.kkhair.net,3d61103a89d7778b,1968-08-11
Aaliyah Hernández,Aaliyah.Hernndez@loyalty.kkhair.com,86fdaa0fce6b42c5,1973/08
 Zoë Greenidge  ,Zo.Greenidge@loyalty.kkhair.com,72521828e494d857,1969/12/13
Rashida Dottin,Rashida.Dottin_334@kandk-hair.co,447b8e7e537512%^,2002/06/13
Shanice Brathwaite,Shanice.Brathwaite@kandk-hair.co,eeb6e4d17439b1be,1993-11-18
Kareem Clarke,Kareem.Clarke@LOYALTY.KKHAIR.COM,c8c7119046d6d4d8,1973-11-23
Chloë De la Cruz,Chlo.Cruz@domain_with_space.loyalty.kkhair.com,c19834777e43bdcd,1981-10-31
Sade Browne,SADE.BROWNE_816@kkhairemporium.com,bb2159a3121065cf,1981/02/22
D’Andre Greenidge,DAndre.Greenidge@mail.kkhair.net,e4429aa7fdd396f1,1990/01
Tanesha  Núñez,Tanesha.Nez-729@loyalty.kkhair.com,8c6d1e9e19a0d2fd,2006/04
Anaïs Hernández,Anas.Hernndez@loyalty.kkhair.com,7f0348598d5d65b3,1980/11/27
 Renée Singh  ,Rene.Singh@mail.kkhair.net,,
Jamal Singh,Jamal.Singh@mail.kkhair.net,d2b2f99d009a5243,1963/07/16
Jamal Hernández,Jamal.Hernndez@kkhairemporium.com,bc38572a5530f645,2000/09
Dwayne Lewis,DWAYNE.LEWIS@#.MAIL.KKHAIR.NET,0630d3a6e443badc,1979/09/05
Rohan Best,Rohan.Best_485@kkhairemporium.com,407fc7438b8389ZZ,1976/08/22
Tanesha St. Clair,TANESHA.CLAIR@loyalty.kkhair.com,7d02347d16ed23e4,1974/03
Rashida  Browne,Rashida.Browne@kandk-hair.co,be50308655715666,1996-05-06
Jamal Forde,Jamal.Forde_717@,ce234173fc415747,2000/08/11
José van der Kringle,Jos.Kringlekkhairemporium.com,5226f3eb104bac39,1978/05
Kofi Morris-Grant,Kofi.Morris-Grant.529@loyalty.kkhair.com,1d67deb05421813c,2002-06-03
Khadija Ramdeen,KHADIJA.RAMDEEN@kkhairemporium.com,1c9c5bb915c7ba59,1957/02/01
Rohan Núñez,Rohan.Nez.264@LOYALTY.KKHAIR.COM,6726f64ca71d122f,1984/05/17
Jamal O'Connor,Jamal.OConnor@mail.kkhair.net,77cfa04d6556427e,1985/04/18
 Andre Thompson  ,Andre.Thompson@MAIL.KKHAIR.NET,568ab1d5d3ffd468,1958-08-14
Jamal  De  la  Cruz,Jamal.Cruz@loyalty.kkhair.com,5cdc9e294bc74a__,1982/10/10
Dwayne Charles,Dwayne.Charles@loyalty.kkhair.com,,
Khadija Thompson St. Clair,KHADIJA.CLAIR@KKHAIREMPORIUM.COM,7880fee9c51e4cd4,1985-11-29
  Jamal  Greenidge    ,Jamal.Greenidge@KANDK-HAIR.CO,fbc366e299815a14,1981/05/18
Mikaël García,MIKAL.GARCA.953@mail.kkhair.net,7e0fdc3ef1cf7c40,1955/03/15 
Keisha Ramdeen,Keisha.Ramdeen@kkhairemporium.com,7d8949a229bee1e2,1971/01
Tia Charles,Tia.Charles@KANDK-HAIR.CO,ae103585ab885cec,1986/09/02
Tia Ramdeen,TIA.RAMDEEN@loyalty.kkhair.com,9323ff516a7812b6,1962/11/30
Noël Williams,NOL.WILLIAMS@kkhairemporium.com,bc54add1adee8954,1985/04/24
Mikaël Morris García,Mikal.Garca@KKHAIREMPORIUM.COM,16d53999ccf4f7de,1994/07/27
Kofi Williams,Kofi.Williams@KKHAIREMPORIUM.COM,eb05fc2e55bfea8b,1978/10/31
Rohan Greenidge,Rohan.Greenidge@kandk-hair.co,7475ab76a98d3fef,1990/4/7
Renée Hernández,Rene.Hernndez@kandk-hair.co,165118feeb6bb57c,1958/08
Aaliyah Dottin,Aaliyah.Dottin@kkhairemporium.com,53ede413233cc3__,1957/11/11
Jéssica Joseph,Jssica.Joseph-24@MAIL.KKHAIR.NET,bc206b4f037e3486,1987/03/18
Tanesha Morris,Tanesha.Morris@kkhairemporium.com,3aa8507917130bcf,1995/07/03 
Andre  Charles-Johnson,Andre.Charles-Johnson.812@MAIL.KKHAIR.NET,403a1e261de371e7,1959/04/16
José Best,JOS.BEST@#.loyalty.kkhair.com,274f0118cdd39a02,1959/07/16
Khadija Morris,Khadija.Morris@#.mail.kkhair.net,46f91ff8775ad569,1965/03/22
